business_name,address,city,state,phone,email,website,source,scraped_at,contact_name,enrichment_notes
Wallace Nissan of Stuart,"4950 SE Federal Hwy, Stuart, FL 34997",Stuart,FL,(772) 287-3636,,https://www.wallacenissanofstuart.com/,Manual research,2026-03-06T01:17:00Z,,"Website accessible, contact page found. No personal emails or manager names displayed on public pages."
Stuart Auto Mall,"4150 SE Salerno Rd, Stuart, FL 34997",Stuart,FL,(772) 286-4500,,https://stuartautomall.com/,Manual research,2026-03-06T01:17:00Z,,"DNS resolution failed - website not accessible."
Napleton's Stuart Hyundai,"3700 SE Federal Hwy, Stuart, FL 34997",Stuart,FL,(772) 287-9800,sales@napletonshyundai.com,https://www.napletonshyundai.com/,Manual research,2026-03-06T01:17:00Z,,"DNS resolution failed - website not accessible. Existing email is generic (sales@)."
Sutherlin Nissan of Port St Lucie,"4600 SW Port St Lucie Blvd, Port St Lucie, FL 34953",Port St Lucie,FL,(772) 335-4000,,https://www.sutherlinnissan.com/,Manual research,2026-03-06T01:17:00Z,,"Website accessible but no contact/about/team pages found. No personal emails or names available."
Crown Kia of St. Lucie,"5250 NW Federal Hwy, Port St Lucie, FL 34983",Port St Lucie,FL,(772) 335-3500,,https://www.crownkiaofstlucie.com/,Manual research,2026-03-06T01:17:00Z,,"DNS resolution failed - website not accessible."
St. Lucie Hyundai,"4350 NW Federal Hwy, Port St Lucie, FL 34983",Port St Lucie,FL,(772) 335-8800,,https://www.stluciehyundai.com/,Manual research,2026-03-06T01:17:00Z,,"DNS resolution failed - website not accessible."
Sutherlin Ford of Fort Pierce,"4150 US-1, Fort Pierce, FL 34982",Fort Pierce,FL,(772) 468-5000,service@sutherlinford.com,https://www.sutherlinford.com/,Manual research,2026-03-06T01:17:00Z,,"Website accessible but no contact/about/team pages found. Existing email is generic (service@)."
Crown Honda of Vero Beach,"4400 US-1, Vero Beach, FL 32967",Vero Beach,FL,(772) 562-4000,,https://www.crownhondaofverobeach.com/,Manual research,2026-03-06T01:17:00Z,,"DNS resolution failed - website not accessible."
Crown Nissan of Vero Beach,"4100 US-1, Vero Beach, FL 32967",Vero Beach,FL,(772) 778-6000,,https://www.crownnissanofverobeach.com/,Manual research,2026-03-06T01:17:00Z,,"DNS resolution failed - website not accessible."
Vero Beach Toyota,"4400 US-1, Vero Beach, FL 32967",Vero Beach,FL,(772) 567-3000,fredj@toyotaofvero.com,https://www.verobeachtoyota.com/,Manual research,2026-03-06T01:17:00Z,"Fred Joseph (F&I Director) - Email: fredj@toyotaofvero.com; Staff found: Bob Quaile (Owner), Jared Saunders (Owner Operator), Matthew Harding (Sales Manager), Joe Perry (Sales Manager), Tim Zerbe (Service Director), Fred Joseph (F&I Director), Adam Podsadowski (Finance Manager), Sean McAleney (Finance Manager), Ralph Mandarino (Finance Manager), Jose Vallejo (Finance Manager), Luis Rojas (Service Manager), Luis Morel (Parts Manager)","✅ SUCCESSFULLY ENRICHED. Found staff page with 60+ staff members including owners, managers, and directors. Personal emails found: alvinc@toyotaofvero.com (Alvin Clarke - Sales), fredj@toyotaofvero.com (Fred Joseph - F&I Director), luism@toyotaofvero.com (Luis - Service/Parts), coltan.holmes@gmail.com (Coltan Holmes - Sales). Updated email to F&I Director."
Sutherlin Mazda of Stuart,"4650 SE Federal Hwy, Jensen Beach, FL 34957",Jensen Beach,FL,(772) 229-2000,,https://www.sutherlinmazda.com/,Manual research,2026-03-06T01:17:00Z,,"Website accessible but no contact/about/team pages found. No personal emails or names available."
Sebastian Chevrolet,"1110 US-1, Sebastian, FL 32958",Sebastian,FL,(772) 589-4000,,https://www.sebastianchevrolet.com/,Manual research,2026-03-06T01:17:00Z,,"DNS resolution failed - website not accessible."
Palm City Ford,"3880 SW Martin Hwy, Palm City, FL 34990",Palm City,FL,(772) 283-9500,service@palmcityford.com,https://www.palmcityford.com/,Manual research,2026-03-06T01:17:00Z,,"DNS resolution failed - website not accessible. Existing email is generic (service@)."
Hobe Sound Auto Sales,"12650 US-1, Hobe Sound, FL 33455",Hobe Sound,FL,(772) 546-5353,,https://www.hobesoundautosales.com/,Manual research,2026-03-06T01:17:00Z,,"DNS resolution failed - website not accessible."
Fort Pierce Dodge,"4750 US-1, Fort Pierce, FL 34982",Fort Pierce,FL,(772) 461-6000,sales@fortpiercedodge.com,https://www.fortpiercedodge.com/,Manual research,2026-03-06T01:17:00Z,,"DNS resolution failed - website not accessible. Existing email is generic (sales@)."
