business_name,phone,email,website,address,city,state,category,priority,notes
YMCA of the Treasure Coast - Stuart Branch,772-286-4444,welcome@ymcatreasurecoast.org,https://www.ymcatreasurecoast.org/,1700 Monterey Rd,Stuart,FL,Gym/Fitness,High,Community center - large facility - pool deck + locker rooms
YMCA of the Treasure Coast - Port St Lucie,772-777-4444,welcome@ymcatreasurecoast.org,https://www.ymcatreasurecoast.org/,1550 SE Port St Lucie Blvd,Port St Lucie,FL,Gym/Fitness,High,Community center - second location
Planet Fitness Stuart,772-288-8888,info@planetfitness.com,https://www.planetfitness.com/,3020 SE Federal Hwy,Stuart,FL,Gym/Fitness,Medium,National chain - floor maintenance potential
Planet Fitness Port St. Lucie,772-878-8888,portstlucie@planetfitness.com,https://www.planetfitness.com/,10485 US-1,Port St Lucie,FL,Gym/Fitness,Medium,National chain
Anytime Fitness Stuart,772-219-4400,stuartfl@anytimefitness.com,https://www.anytimefitness.com/,2151 SE Ocean Blvd,Stuart,FL,Gym/Fitness,Medium,24/7 gym franchise
Anytime Fitness Jensen Beach,772-334-4400,jensenbeach@anytimefitness.com,https://www.anytimefitness.com/,1935 NE Jensen Beach Blvd,Jensen Beach,FL,Gym/Fitness,Medium,24/7 gym franchise
Orangetheory Fitness Stuart,772-233-0121,stuart.fl@orangetheoryfitness.com,https://www.orangetheory.com/,2455 SE Federal Hwy,Stuart,FL,Gym/Fitness,Medium,Boutique fitness studio - rubber flooring
Orangetheory Fitness Port St. Lucie,772-378-0121,portstlucie.fl@orangetheoryfitness.com,https://www.orangetheory.com/,1821 SW Gatlin Blvd,Port St Lucie,FL,Gym/Fitness,Medium,Boutique fitness studio
LA Fitness Stuart,772-225-5210,stuart@lafitness.com,https://www.lafitness.com/,3265 SE Federal Hwy,Stuart,FL,Gym/Fitness,Medium,Large chain gym - multiple areas
LA Fitness Port St. Lucie,772-336-5210,portstlucie@lafitness.com,https://www.lafitness.com/,1040 SW Port St Lucie Blvd,Port St Lucie,FL,Gym/Fitness,Medium,Large chain gym
CrossFit Stuart,772-678-9944,info@crossfitstuart.com,https://www.crossfitstuart.com/,2475 SE Federal Hwy,Stuart,FL,Gym/Fitness,Medium,CrossFit box - heavy equipment areas
Gold's Gym Stuart,772-283-4653,stuart@goldsgym.com,https://www.goldsgym.com/,3200 SE Federal Hwy,Stuart,FL,Gym/Fitness,Medium,Iconic gym brand - weight room floors
Crunch Fitness Stuart,772-234-5678,stuart@crunchfitness.com,https://www.crunch.com/,2100 SE Federal Hwy,Stuart,FL,Gym/Fitness,Medium,Budget-friendly chain
