name,phone,website,address,city,state,type
Martin County School District,772-219-1200,https://www.martinschools.org/,"1939 SE Federal Highway, Stuart, FL 34994",Stuart,FL,School
St. Lucie Public Schools,772-429-3600,https://www.stlucie.k12.fl.us/,"9461 Brandywine Lane, Port St. Lucie, FL 34986",Port St Lucie,FL,School
St. Martin de Porres Catholic Church,772-334-4214,https://www.stmartindp.com/,"2555 NE Savannah Road, Jensen Beach, FL 34957",Jensen Beach,FL,Church
Family Church Jensen Beach,,https://gofamilychurch.org/locations/jensen-beach-church/,"1400 NE Jensen Beach Blvd, Jensen Beach, FL 34957",Jensen Beach,FL,Church
Family Church Fort Pierce,,https://gofamilychurch.org/family-church-fort-pierce-fl/,"4500 S 25th St, Fort Pierce, FL 34981",Fort Pierce,FL,Church
Westside Church,772-461-7828,https://www.westside.church/,"3361 South Jenkins Road, Fort Pierce, FL",Fort Pierce,FL,Church
Saints Cyril and Methodius Byzantine Catholic Church,772-595-1021,https://www.fortpiercebyzantine.com/,"1002 Bahama Avenue, Fort Pierce, FL 34982",Fort Pierce,FL,Church
Ascent Church,,https://ascent.cc/,"4175 SE Cove Rd, Stuart, FL",Stuart,FL,Church
St. Mary's Episcopal Church,772-287-3244,https://www.stmarys-stuart.org/,"Stuart, FL 34994",Stuart,FL,Church
Covenant Fellowship Baptist Church,,https://www.covenantfellowship.com/,"2880 SE Aster Lane, Stuart, FL 34994",Stuart,FL,Church
Port St. Lucie Community Center,772-344-4200,https://www.cityofpsl.com/Destinations/City-Facilities/Community-Center,"2195 SE Airoso Blvd, Port Saint Lucie, FL 34984",Port St Lucie,FL,Community Center
Community Fitness & Wellness Center,772-871-1775,https://www.cityofpsl.com/Government/Your-City-Government/Departments/Parks-Recreation/Fitness/Community-Fitness-Wellness-Center,"121 SW Port St. Lucie Blvd, Port St. Lucie, FL 34984",Port St Lucie,FL,Community Center
Vince Bocchino Community Center,,https://www.martin.fl.us/VBCC,"2369 NE Dixie Highway, Jensen Beach, FL 34957",Jensen Beach,FL,Community Center
Jensen Beach Community Center,,https://discovermartin.com/venue/jensen-beach-community-center/,"1912 NE Jensen Beach Blvd, Jensen Beach, FL 34957",Jensen Beach,FL,Community Center
YMCA Stuart Main Branch,772-286-4444,https://ymcatreasurecoast.org/stuart-main-branch/,"1700 SE Monterey Road, Stuart, FL 34996",Stuart,FL,Nonprofit
Boys & Girls Clubs of Martin County,772-597-5088,https://www.bgcmartin.org/,"17375 SW Palm Beach St, Indiantown, FL 34956",Indiantown,FL,Nonprofit
Boys & Girls Club of St. Lucie County,,https://bgcofslc.org/,,St. Lucie County,FL,Nonprofit
Salvation Army Martin County,772-288-1471,https://martincounty.salvationarmyflorida.org/,"821 SE Martin Luther King Blvd, Stuart, FL 34994",Stuart,FL,Nonprofit
Community Foundation for Palm Beach and Martin Counties,,https://yourcommunityfoundation.org/,,Palm Beach,FL,Nonprofit
Beachland Elementary School,772-564-3300,,"3350 Indian River Dr E, Vero Beach, FL 32963",Vero Beach,FL,School
All Saints Episcopal Jensen Beach,,https://allsaintsjensenbeach.org/,,Jensen Beach,FL,Church
Jensen Beach Community Church,,http://jbccucc.org/,,Jensen Beach,FL,Church
First Church Fort Pierce,,https://www.firstchurchfp.org/,,Fort Pierce,FL,Church
Christ Fellowship Church Stuart,,https://www.christfellowship.church/locations/stuart,,Stuart,FL,Church
Family Church North Stuart,,https://gofamilychurch.org/locations/north-stuart-church/,,Stuart,FL,Church
School District of Indian River County,,https://www.indianriverschools.org/,,Indian River County,FL,School District
Vero Beach High School,,https://vbhs.indianriverschools.org/,,Vero Beach,FL,School
