business_name,phone,email,website,address,city,state,category,source,date_found,priority,contacted,notes,lead_type,market_phase
"Counters to Floors","(772) 286-8555",,"https://counterstofloors.com/","Stuart, FL","Stuart",FL,"Countertop Fabricator","websearch","2026-02-17","High","No","Countertop fabricator found via search","client","FL Phase 1"
"New England Granite & Marble","(772) 283-8667",,"https://newenglandgranite.net/","Stuart, FL","Stuart",FL,"Countertop Fabricator","websearch","2026-02-17","High","No","Countertop fabricator found via search","client","FL Phase 1"
"Castelli Marble & Granite","(772) 287-9600",,"https://www.castelligeostone.com/","3965 SE Dixie Hwy, Stuart, FL 34997","Stuart",FL,"Countertop Fabricator","websearch","2026-02-17","High","No","Countertop fabricator found via search","client","FL Phase 1"
"Flooring USA","(772) 463-6400",,"https://www.flooringusa.net/","3380 SE Federal Hwy, Stuart, FL 34994","Stuart",FL,"Countertop Fabricator","websearch","2026-02-17","High","No","Countertop fabricator found via search","client","FL Phase 1"
"Agler Kitchen, Bath & Floors","(772) 286-9030",,"https://www.aglerinteriors.com/","1940 SE Federal Hwy, Stuart, FL 34994","Stuart",FL,"Countertop Fabricator","websearch","2026-02-17","High","No","Countertop fabricator found via search","client","FL Phase 1"
"Stone Age Fabrication","(772) 569-7735",,"http://stoneagefab.com/","Stuart, FL","Stuart",FL,"Countertop Fabricator","websearch","2026-02-17","High","No","Countertop fabricator found via search","client","FL Phase 1"
"Granite & Marble Design","(772) 334-9900",,"https://www.yelp.com/biz/granite-and-marble-design-jensen-beach-3","3211 NW Federal Hwy, Jensen Beach, FL 34957","Jensen Beach",FL,"Countertop Fabricator","websearch","2026-02-17","High","No","Countertop fabricator found via search","client","FL Phase 1"
"Cabinet Cottage","(772) 225-9799",,"https://cabinetcottage.com/","3925 NW Federal Hwy, Jensen Beach, FL 34957","Jensen Beach",FL,"Countertop Fabricator","websearch","2026-02-17","High","No","Countertop fabricator found via search","client","FL Phase 1"
"Coastal Flooring & Granite","(772) 286-7770",,"https://coastalflooring.net/","Jensen Beach, FL","Jensen Beach",FL,"Countertop Fabricator","websearch","2026-02-17","High","No","Countertop fabricator found via search","client","FL Phase 1"
"Coastal Flooring & Design Center","(772) 871-9799",,"https://coastalflooring.net/","550 NW US Highway 1, Port St Lucie, FL 34983","Port St Lucie",FL,"Countertop Fabricator","websearch","2026-02-17","High","No","Countertop fabricator found via search","client","FL Phase 1"
"Maia Stone Company","(407) 506-9901",,"https://maiastonecompany.com/","Serving Port St Lucie, FL","Port St Lucie",FL,"Countertop Fabricator","websearch","2026-02-17","High","No","Countertop fabricator found via search","client","FL Phase 1"
"Best Granite For Less","(954) 703-7399",,"https://www.bestgraniteforless.com/","265 NW 1st St, Deerfield Beach, FL 33441","Port St Lucie",FL,"Countertop Fabricator","websearch","2026-02-17","High","No","Countertop fabricator found via search","client","FL Phase 1"
"Mavit Stone","(772) 236-7468",,"https://www.mavitstone.com/","Port St Lucie, FL","Port St Lucie",FL,"Countertop Fabricator","websearch","2026-02-17","High","No","Countertop fabricator found via search","client","FL Phase 1"
"Rock Solid Installs","(772) 467-2121",,"https://rocksolid2121.wixsite.com/website","Port St Lucie, FL","Port St Lucie",FL,"Countertop Fabricator","websearch","2026-02-17","High","No","Countertop fabricator found via search","client","FL Phase 1"
"Empire Stone","(561) 965-3685",,"https://empirepalmbeach.com/","Riviera Beach, FL","Riviera Beach",FL,"Countertop Fabricator","websearch","2026-02-17","High","No","Countertop fabricator found via search","client","FL Phase 1"
"Personal Touch Countertops","(321) 255-5044",,"https://ptcountertops.com/","Serving Treasure Coast, FL","Stuart",FL,"Countertop Fabricator","websearch","2026-02-17","High","No","Countertop fabricator found via search","client","FL Phase 1"
"Florida Countertop Factory","(954) 587-6400",,"https://countertopfactoryfl.com/","Serving Florida","Stuart",FL,"Countertop Fabricator","websearch","2026-02-17","High","No","Countertop fabricator found via search","client","FL Phase 1"
"WS Granite Tops","(561) 249-3720",,"https://wsgranitetops.com/","Serving South Florida","Stuart",FL,"Countertop Fabricator","websearch","2026-02-17","High","No","Countertop fabricator found via search","client","FL Phase 1"
"Stone and Quartz Surfaces","(954) 533-8663",,"https://www.stoneandquartzsurfaces.com/","Palm Beach County, FL","West Palm Beach",FL,"Countertop Fabricator","websearch","2026-02-17","High","No","Countertop fabricator found via search","client","FL Phase 1"
"Surface Surgeon","(561) 512-5544",,"https://surfacesurgeon.com/","Serving Martin & Palm Beach County, FL","Jensen Beach",FL,"Countertop Fabricator","websearch","2026-02-17","High","No","Countertop fabricator found via search","client","FL Phase 1"
"American Home Design LLC","(561) 404-4040",,"https://www.homeadvisor.com/","Serving Central & South Florida","Stuart",FL,"Countertop Fabricator","websearch","2026-02-17","High","No","Countertop fabricator found via search","client","FL Phase 1"
"Cambria Quartz at Home Depot","(772) 204-9829",,"https://www.cambriausa.com/","2200 SW Gatlin Blvd, Port Saint Lucie, FL 34953","Port St Lucie",FL,"Countertop Fabricator","websearch","2026-02-17","High","No","Countertop fabricator found via search","client","FL Phase 1"
