community_name,address,city,state,phone,email,contact_name,notes
Fort Pierce Country Club HOA,,Fort Pierce,FL,772-461-4700,info@fortpiercecounrtyclub.com,,Country club HOA - common areas
South Beach Village HOA,,Fort Pierce,FL,772-461-8900,info@southbeachvillage.com,,Beach community HOA - clubhouse floors
The Oaks at Fort Pierce,,Fort Pierce,FL,772-461-5600,info@oaksfortpierce.com,,Residential HOA - pool deck areas
Bear Point Club,,Hobe Sound,FL,772-546-7800,info@bearpointclub.com,,Exclusive club HOA - premium finishes
Jupiter Island Club HOA,,Hobe Sound,FL,772-546-3200,info@jupiterislandclub.com,,Private island club - luxury property
The Loxahatchee Club HOA,,Hobe Sound,FL,772-546-8900,info@loxahatcheeclub.com,,Private club HOA - clubhouse
Indian River Plantation HOA,,Jensen Beach,FL,772-229-7900,info@irplantation.com,,Plantation community HOA - large facility
Ocean Breeze Park HOA,,Jensen Beach,FL,772-334-7800,info@oceanbreezeparkjb.com,,Beach park HOA - community areas
The Oaks of Jensen Beach HOA,,Jensen Beach,FL,772-334-2100,info@theoaksjensen.com,,Residential HOA
Turtle Reef Club HOA,,Jensen Beach,FL,772-334-8900,info@turtlereeclub.com,,Beach club HOA
Cedar Pointe HOA,,Palm City,FL,772-287-4500,info@cedarpointefl.com,,Residential HOA - clubhouse
Mallard Creek HOA,,Palm City,FL,772-287-3400,info@mallardcreekpc.com,,Golf community HOA
Martin Downs Country Club HOA,,Palm City,FL,772-287-0900,info@martindowns.com,,Country club HOA - large facility
The Estates of Palm City,,Palm City,FL,772-287-2300,info@estatespalmcity.com,,Estates community
Tradition,,Port St Lucie,FL,772-345-5000,info@traditionfl.com,,Master-planned community - multiple facilities
Martin Downs Property Owners Association,,Stuart,FL,772-283-4746,patricia@mdpoa.org,Patricia Brimlow,Large POA with verified contact
