community_name,address,phone,email,contact_name,notes,source
Indian River Plantation,"Stuart, FL",,,,Martin County HOA,Public Records
Hutchinson Island Shores,"Hutchinson Island, FL",,,,Martin County HOA,Public Records
Sailfish Point,"Stuart, FL",,,,Martin County HOA,Public Records
Port St Lucie Riverfront,"Port St Lucie, FL",,,,St Lucie County HOA,Public Records
Tradition,"Port St Lucie, FL",,,,St Lucie County HOA,Public Records
Vero Beach Country Club,"Vero Beach, FL",,,,Indian River County HOA,Public Records
John's Island,"Vero Beach, FL",,,,Indian River County HOA,Public Records
Sebastian Highlands,"Sebastian, FL",,,,Indian River County HOA,Public Records
Jensen Beach Dunes,"Jensen Beach, FL",,,,Martin County HOA,Public Records
Palm City Plantation,"Palm City, FL",,,,Martin County HOA,Public Records
