community_name,address,phone,email,contact_name,url,notes
"Indian River Plantation HOA","Hobe Sound FL","","","","","HOA in Hobe Sound, FL"
"Hutchinson Island HOA","Hutchinson Island FL","","","","","Beachfront HOA"
"Port St Lucie HOA","Port St Lucie FL","","","","","Multiple HOAs in PSL"
"Stuart HOA Association","Stuart FL","","","","","Stuart area HOAs"
"Jensen Beach Homeowners Association","Jensen Beach FL","","","","","Beach community HOA"
"Vero Beach HOA","Vero Beach FL","","","","","Vero Beach HOA"
"Sebastian HOA","Sebastian FL","","","","","Sebastian community HOA"
"Palm City HOA","Palm City FL","","","","","Palm City HOA"
"Fort Pierce HOA","Fort Pierce FL","","","","","Fort Pierce HOA"
"Tropical Farms HOA","Stuart FL","","","","","Tropical Farms community"
"Rio HOA","Jensen Beach FL","","","","","Rio area HOA"
"Indian River Shores HOA","Vero Beach FL","","","","","Indian River Shores community"
"South Beach HOA","Vero Beach FL","","","","","South Beach HOA"
"Johns Island HOA","Vero Beach FL","","","","","Johns Island community"
"Windsor HOA","Vero Beach FL","","","","","Windsor community"
