Business Name,Address,Phone,Email,Contact Name,URL,Snippets
Hotels.com - Deals & Discounts for Hotel Reservations from Luxury ...,,,,,https://www.hotels.com/?msockid=16c91ab5dcdc683f1fc40da3dd5b69e6,"Find cheap hotels and discounts when you book on Hotels.com. Compare hotel deals, offers and read unbiased reviews on hotels."
"Hotels, Accommodation & Cheap Hotel Deals | Book at Expedia site",,,,,https://www.expedia.com/Hotels?msockid=16c91ab5dcdc683f1fc40da3dd5b69e6,Expedia's Hotel Search makes booking easy. Choose from thousands of hotel discounts & cheap hotel rooms. Pick the perfect hotel deal & save!
"Booking.com | Official site | The best hotels, flights, car rentals ...",,,,,https://www.booking.com/?msockid=16c91ab5dcdc683f1fc40da3dd5b69e6,"Explore the world with Booking.com. Big savings on homes, hotels, flights, car rentals, taxis, and attractions – build your perfect trip on any budget."
Hotels: Find Cheap Hotel Deals & Discounts - KAYAK,,,,,https://www.kayak.com/hotels?msockid=16c91ab5dcdc683f1fc40da3dd5b69e6,KAYAK searches hundreds of travel sites so you can find the perfect hotel at the right price. Read millions of verified guest reviews for hotels across the world.
Hotels: Cheap Hotel Deals on Tripadvisor,,,,,https://www.tripadvisor.com/Hotels,Find Cheap Hotels & Motels Near You. Get the best hotel room from 1 million hotels and motels worldwide with rooms ranked by hundreds of millions of reviews and opinions from Tripadvisor travelers.
Hotels: Find Cheap Hotel Rooms & Discount Hotels | Priceline,,,,,https://www.priceline.com/hotels?msockid=16c91ab5dcdc683f1fc40da3dd5b69e6,"1 day ago · Get great deals on hotels, resorts and private rentals. Save even more on last minute deals and hotels nearby. Book a hotel for cheap today with free cancellation for more flexibility."
trivago.com - Compare hotel prices worldwide,,,,,https://www.trivago.com/?msockid=16c91ab5dcdc683f1fc40da3dd5b69e6,Compare hotel prices from hundreds of travel sites and get great deals. Save time and money on finding your ideal accommodation with millions of reviews and photos on trivago.com
Cheap Hotels: Book Hotel Deals With Our Hotel Finder | Travelocity,,,,,https://www.travelocity.com/Hotels?msockid=16c91ab5dcdc683f1fc40da3dd5b69e6,"Use Travelocity's Hotel Finder to book your next hotel, backed by our Price Match Guarantee. Search hotel deals, read reviews and Wander Wisely!"
Hotels Deals: Book Last Minute Hotel Deals and Reservations | Hotwire,,,,,https://www.hotwire.com/hotels/,"Save on hotel accommodations and find cheap hotel deals at top destinations. Book 4-star hotels, at 2-star prices, only with Hotwire!"
IHG Hotels & Resorts® | Book Direct for Exclusive Hotel Deals,,,,,https://www.ihg.com/hotels/us/en/reservation?msockid=16c91ab5dcdc683f1fc40da3dd5b69e6,"Save at any of IHG Hotels & Resorts' 6,000+ locations when you book direct. Choose from luxury hotels, resorts, extended stay hotels, pet-friendly hotels and more."
Hotels.com - Deals & Discounts for Hotel Reservations from Luxury ...,,,,,https://www.hotels.com/?msockid=1704d2d3093c60d2363cc5c508bb6194,"Find cheap hotels and discounts when you book on Hotels.com. Compare hotel deals, offers and read unbiased reviews on hotels."
"Hotels, Accommodation & Cheap Hotel Deals | Book at Expedia site",,,,,https://www.expedia.com/Hotels?msockid=1704d2d3093c60d2363cc5c508bb6194,Expedia's Hotel Search makes booking easy. Choose from thousands of hotel discounts & cheap hotel rooms. Pick the perfect hotel deal & save!
"Booking.com | Official site | The best hotels, flights, car rentals ...",,,,,https://www.booking.com/?msockid=1704d2d3093c60d2363cc5c508bb6194,"Explore the world with Booking.com. Big savings on homes, hotels, flights, car rentals, taxis, and attractions – build your perfect trip on any budget."
Hotels: Find Cheap Hotel Deals & Discounts - KAYAK,,,,,https://www.kayak.com/hotels?msockid=1704d2d3093c60d2363cc5c508bb6194,KAYAK searches hundreds of travel sites so you can find the perfect hotel at the right price. Read millions of verified guest reviews for hotels across the world.
Hotels: Find Cheap Hotel Rooms & Discount Hotels | Priceline,,,,,https://www.priceline.com/hotels?msockid=1704d2d3093c60d2363cc5c508bb6194,"1 day ago · Get great deals on hotels, resorts and private rentals. Save even more on last minute deals and hotels nearby. Book a hotel for cheap today with free cancellation for more flexibility."
trivago.com - Compare hotel prices worldwide,,,,,https://www.trivago.com/?msockid=1704d2d3093c60d2363cc5c508bb6194,Compare hotel prices from hundreds of travel sites and get great deals. Save time and money on finding your ideal accommodation with millions of reviews and photos on trivago.com
