business_name,phone,email,website,address,city,state,category,source,date_found,priority,contacted,notes,lead_type,market_phase
Stuart Kitchen Bath and Flooring,772-288-6255,https://stuartkitchenbathandflooring.com/,Stuart,FL,Kitchen Renovation,websearch,2026-02-23,Medium,No,"Stuart Kitchen Bath and Flooring - Kitchen and bath remodel. Don't just renovate spaces; bring home to life with kitchen and bath remodel of dreams"
DreamMaker Bath & Kitchen Stuart,(772) 288-6255,https://www.dreammaker-stuart.com/,Stuart,FL,Kitchen Renovation,websearch,2026-02-23,Medium,No,"DreamMaker Bath & Kitchen - Southeast Florida's premier home remodeling company. Design and execute dream home remodel. Call us in Stuart at 772-288-6255"
DreamMaker Bath & Kitchen Stuart Area,,https://www.dreammaker-stuart.com/areas-we-serve/stuart-fl/,Stuart,FL,Kitchen Renovation,websearch,2026-02-23,Medium,No,"DreamMaker Bath & Kitchen - Stuart FL. Home remodeling, renovations, new homes, creating beautiful spaces embracing natural light"
Island Homes & Renovations Inc.,,https://islandhomesfl.com/kitchen-renovation-company-stuart-fl/,Stuart,FL,Kitchen Renovation,websearch,2026-02-23,Medium,No,"Island Homes & Renovations Inc. - Expert Kitchen Renovation Company serving Stuart FL. Locally owned and operated full service home improvement. Specializing as a Kitchen Renovation Company"
Kitchen & Bath Shop,,,https://www.homeadvisor.com/tloc/Stuart-FL/Kitchen-Remodel/,Stuart,FL,Kitchen Renovation,websearch,2026-02-23,Medium,No,"Kitchen & Bath Shop - Complete kitchen and bath remodeling showroom. Years of experience in quality residential kitchen remodeling and bathroom remodeling"
Janssen Renovations,,,https://www.angi.com/companylist/us/fl/stuart/kitchen-and-bath-remodeling.htm,Stuart,FL,Kitchen Renovation,websearch,2026-02-23,Medium,No,"Janssen Renovations - Local company, family owned and operated by Mike and his sons. FREE estimates on interior renovations"
Kitchen Tune-Up,,,https://www.kitchentuneup.com/stuart-fl/,Stuart,FL,Kitchen Renovation,websearch,2026-02-23,Medium,No,"Kitchen Tune-Up - Specializing in affordable kitchen remodeling in Jupiter Stuart Port St. Lucie. Wood reconditioning, cabinet refacing and redooring, custom cabinetry"
Robert Kutner Architect,,,https://www.houzz.com/professionals/kitchen-and-bath/stuart-fl-us-probr0-bo~t_11790~r_4174201,Stuart,FL,Kitchen Renovation,websearch,2026-02-23,Medium,No,"Robert Kutner Architect - Renovations and new homes. Specializes in renovations and new homes, creating beautiful spaces embracing natural light. Since 1991"
Walter M White Construction Company,,,https://generalcontractorstuartfl.com/kitchen-remodel-stuart-fl/,Stuart,FL,Kitchen Renovation,websearch,2026-02-23,Medium,No,"Walter M White Construction Company - Seriously best general contractor we have ever used. Kitchen remodel went flawlessly"
Fratelli Contractors,,,https://fratellicontractors.com/remodeling-contractor/kitchen-remodel/,Stuart,FL,Kitchen Renovation,websearch,2026-02-23,Medium,No,"Fratelli Contractors - Specializing in affordable kitchen remodeling in Stuart FL and surrounding areas. Focusing on precise execution, layout expertise, and flawless finalization"
FloridaKitchens.org,,,https://floridakitchens.org/florida-cities/fort-pierce-kitchen-remodeling/,Fort Pierce,FL,Commercial Kitchen,websearch,2026-02-23,Medium,No,"FloridaKitchens.org - Top-rated kitchen remodeling company in Fort Pierce FL. Manage every part of job from preliminary consult to finished redesign. Designers, certified builders, project managers ensure turn-key"
GSC Remodeling Solution LLC,,,https://www.gscremodeling.com/,Fort Pierce,FL,Commercial Kitchen,websearch,2026-02-23,Medium,No,"GSC Remodeling Solution LLC - Happy to take on project in Fort Pierce FL. Custom kitchen remodeling. Services Fort Pierce, Port St. Lucie FL, Vero Beach FL. Updated home layout, functionality"
ThumbTack Fort Pierce,,,https://www.thumbtack.com/fl/fort-pierce/general-contractors,Fort Pierce,FL,Commercial Kitchen,websearch,2026-02-23,Medium,No,"ThumbTack Fort Pierce - Esteban Ferrer says outstanding transparency and professionalism from Granite and Marble Treasure Coast. New construction, additions and repairs"
Esteban Ferrer,,,https://www.thumbtack.com/fl/fort-pierce/general-contractors,Fort Pierce,FL,Commercial Kitchen,websearch,2026-02-23,Medium,No,"Esteban Ferrer - Says Granite and Marble Treasure Coast installed countertop. Would cost a lot to replace so it costs a lot to repair. Solid cost prior to starting"
Angi Fort Pierce Kitchen & Bath Remodeling,,,https://www.angi.com/companylist/us/fl/fort-pierce/kitchen-and-bath-remodeling.htm,Fort Pierce,FL,Commercial Kitchen,websearch,2026-02-23,Medium,No,"Angi Fort Pierce - Specializes in repairs of existing countertops, fabrication and installation of Quartz & Granite countertops for kitchen, bathroom, and more"
Angi Fort Pierce Cabinet Makers,,,https://www.angi.com/companylist/us/fl/fort-pierce/cabinet-makers.htm,Fort Pierce,FL,Commercial Kitchen,websearch,2026-02-23,Medium,No,"Angi Fort Pierce Cabinet Makers - General contractor home improvement services. Free estimates. Custom kitchen remodeling"
Angi Fort Pierce Contractors,,,https://www.angi.com/companylist/us/fl/fort-pierce/contractor.htm,Fort Pierce,FL,Commercial Kitchen,websearch,2026-02-23,Medium,No,"Angi Fort Pierce Contractors - New construction, additions and repairs, interior wall framing, tie beam, trusses, roofing sheeting, slab, drive way, demolition, baseboards, crown molding, floor installation"
DBH Improvements,,,https://www.dbhiproducts.com/home-remodeling-contractor-in-fort-pierce-fl,Fort Pierce,FL,Commercial Kitchen,websearch,2026-02-23,Medium,No,"DBH Improvements - Dave and crew worked hard to transform 1970s kitchen into a beauty. Some pictures featured on website. Dave is conscientious about customer service. Returns phone calls, explains pricing"
True Roots Catering,,,https://www.truerootscatering.com/,Vero Beach,FL,Catering Facility,websearch,2026-02-23,Medium,No,"True Roots Catering - Elevated catering services for weddings, corporate events & more in Vero Beach, Stuart, Palm Beach Gardens, Jupiter & Port St. Lucie"
Elizabeth D Kennedy & Co Catering,,,https://elizabethkennedycatering.com/,Vero Beach,FL,Catering Facility,websearch,2026-02-23,Medium No,"Elizabeth D Kennedy & Co - Leading culinary expert and event planning company in Vero Beach Palm Beach and beyond. Innovative menus, exceptional service. Since 1985"
Wild Thyme Catering,,,https://cateringverobeach.com/,Vero Beach,FL,Catering Facility,websearch,2026-02-23,Medium,No,"Wild Thyme Catering - Vero Beach FL. Custom catering services. Chef-made food for work, meetings, parties. Catering from 10-300 guests"
Dignity Catering,,,https://www.iamthesource.org/dignity-catering,Vero Beach,FL,Catering Facility,websearch,2026-02-23,Medium No,"Dignity Catering - I Am The Source. Dignity Catering, a division of Dining with Dignity. New Culinary Director, catering kitchen in 2022. Food truck serving our food throughout the community"
Counter Culture Vero Beach,,,https://www.counterculturevero.com/catering,Vero Beach,FL,Catering Facility,websearch,2026-02-23,Medium,No,"Counter Culture Vero Beach - Professional catering, party planning and home bistro dishes to go. Catering from 10-300 with healthy, delicious, chef-made food to enjoy at home"
Orchid Gourmet,,,https://www.yellowpages.com/vero-beach-fl/caterers,Vero Beach,FL,Catering Facility,websearch,2026-02-23,Medium No,"Orchid Gourmet - Best caterer ever. Had cocktail party for 50 people. Jesse came to house ahead of date. Suggests menu selections, mailed specifics. Authentic and delicious"
