business_name,phone,email,website,address,city,state,category,source,date_found,priority,contacted,notes,lead_type,market_phase
Property Boss LLC,(772) 621-2273,Staff@propertybossllc.com,https://www.propertybossllc.com/stuart,770 SE Indian St,Stuart,FL,Property Management,websearch,2026-02-12,High,No,Full contact info found via website | Alt emails: jay@vailvalleygetaway.com | SMTP verified,,
Coastal Management Professionals,561-310-9672,Accounting@cpmfl.com,https://coastalmgmtpros.com/property-management-in-stuart-fl/,Stuart FL Area,Stuart,FL,Property Management,websearch,2026-02-12,High,No,"Contact: Zachary Greenberg - Broker/Owner | Alt emails: Admin@cpmfl.com, riverpinesstuart@gmail.com",,
South Florida Realty Management,,info@floridapm.net,https://www.floridapm.net/,Stuart FL,Stuart,FL,Property Management,websearch,2026-02-12,Medium,No,Website visited but specific contact info not found in extracted content | Email: SMTP verified at floridapm.net,,
JC Epoxy Coatings,(954) 994-8204,randerson3222@yahoo.com,https://jcepoxycoatings.com/,Port St. Lucie,Port St. Lucie,FL,Epoxy Flooring,websearch,2026-02-12,Medium,No,Epoxy flooring contractor with5+ years experience | Alt emails: cma122710@yahoo.com,,
TruBlue Home Shield Alliance,(772) 240-5823,bullard.trublue@gmail.com,https://www.trubluehomeshieldalliance.com/martin-county-fl-handyman-home-maintenance,701 SE Central Pkwy Ste 141,Stuart,FL,Handyman Services,websearch,2026-02-12,Medium,No,Handyman & home maintenance services | Alt emails: trubluestuart@gmail.com | SMTP verified,,
Elite Pro Finishes,(772) 240-2758,Info@eliteprofinishes.com,https://eliteprofinishes.com/,Stuart,FL,Epoxy Flooring,websearch,2026-02-12,Medium,No,Epoxy flooring contractor in Stuart | Alt emails: eliteprofinishes@gmail.com | SMTP verified,,
Stuart Ace Hardware,(772) 287-1932,service@stuartace.com,https://stuartace.com/,401 SE Federal Highway,Stuart,FL,Hardware Store,websearch,2026-02-12,Low,No,Local hardware store | Maintenance supplies source | SMTP verified,,
Precision Concrete Polishing,(772) 675-0555,info@precisionpolishing.com,https://precisionpolishing.com/,2816 SE Dixie Hwy,Stuart,FL,Epoxy Flooring,websearch,2026-02-12,Medium,No,Concrete & epoxy flooring | Alt emails: precisionpolishing@gmail.com | SMTP verified,,
Florida Power Washing,(772) 215-5460,floridapowerwashing@yahoo.com,https://floridapowerwashing.com/,Port St. Lucie,Port St. Lucie,FL,Cleaning Services,websearch,2026-02-12,Medium,No,Power washing & cleaning services | Alt emails: info@floridapowerwashing.com | SMTP verified,,
Better Homes and Gardens Real Estate TLC,,info@bhgrealtytlc.com,https://www.bhgrealtytlc.com/,2121 SE Ocean Blvd,Stuart,FL,Real Estate,websearch,2026-02-12,Low,No,Real estate agency | Property referrals | SMTP verified,,
