Facility Name,Medical Director/Administrator,Phone,Email,Website,Address,Square Footage,Notes (Specialty, Exam Rooms, Procedure Areas)
Jupiter Medical Center Urgent Care,Dr. Gary Bradley DO MSC (Medical Director Martin County),(772) 263-8400,info@jupitermedurgentcare.com,https://www.jupitermedurgentcare.com/,2628 SE Federal Hwy Stuart FL 34994,Unknown,Urgent care - Walk-in clinic specializing in non-emergent injuries and illnesses lab tests x-rays vaccinations sports physicals
Treasure Coast Urgent Care,Dr. Michele Libman MD (Lead Provider),(772) 419-0560,BILLING@TCURGENTCARE.COM,https://www.tcurgentcare.com/,1050 SE Monterey Rd Ste 101 Stuart FL 34994,Unknown,Urgent care - Primary care employee wellness DOT physicals immigration physicals workmans comp x-ray lab services
Helix Urgent Care,Not specified,(772) 463-1123,info@helixcares.com,https://helixcares.com/,6515 S Kanner Hwy Stuart FL 34997,Unknown,Urgent care - Vaccinations travel medicine virtual care walk-in medicine work comp injuries
Access 365 Urgent Care,Not specified,(772) 222-5302,Not specified,https://access365urgentcare.com/,Multiple locations Stuart Palm City Port St Lucie FL,Unknown,Urgent care - Open 7 days a week 365 days a year occupational health services physicals
City of Port St. Lucie Employee Health Clinic,Not specified,(772) 807-4430,cpslclinic@tcmahealthcare.com,https://cpslhealth.com/,2266 Best Street Port St Lucie FL 34984,Unknown,Employee clinic - Work-related health care family medical care minor emergencies strains sprains broken bones lacerations sports injuries laboratory x-ray pharmacy on-site
Willoughby Dental,Dr. Danielle Guerrino (Owner),(772) 692-8082,Not specified,https://willoughbydentiststuart.com/,2614 SE Willoughby Blvd Stuart FL 34994,Unknown,Dental - Preventive care cosmetic dentistry gum disease treatment emergency dental care dental crowns bridges implants tooth extractions
Stuart Surgery Center,Not specified,(772) 263-8400,Not specified,https://stuartsc.com/,2096 SE Ocean Blvd Stuart FL 34996,Unknown,Ambulatory Surgery Center - Gastroenterology endoscopic facility colorectal cancer screening 5 board-certified physicians
Atlantic Animal Clinic,Not specified,(772) 310-3099,Not specified,https://www.jensenvet.com/,Jensen Beach FL,Unknown,Veterinary - Preventive care dental care acupuncture chiropractic care orthopedic surgery cancer treatment treats mammals reptiles birds amphibians
Premier Physical Therapy & Sports Medicine,Jeffrey A Tucker MPT (CEO),Multiple locations per clinic,Not specified,https://premier-therapy.com/,20+ locations across Treasure Coast including Port St Lucie Fort Pierce Jensen Beach Palm City,Unknown,Physical Therapy - Physical therapy occupational therapy sports medicine custom orthotic splint fabrication 20+ locations
SurgCenter of Martin County,Alan R Blackburn MD (CFO),(Not specified),Not specified,https://www.surgmartincounty.com/,6151 SE Federal Highway Stuart FL 34997,7600 sq ft,Ambulatory Surgery Center - Two large operating rooms one procedure room outpatient surgical facility established 2023
Fort Pierce Smiles,Dr. Ybern Dr. Almanzar,(772) 232-7073,Not specified,https://www.ftpiercedentist.com/,2102 S 11th St Fort Pierce FL 34950,Unknown,Dental - Cosmetic dentistry emergency dentist kid-friendly dentist teeth whitening dental crowns fillings gum disease treatment implants
Animal Health Center of Port St. Lucie,Dr. Kea Apilado Fisher,(772) 873-4745,Not specified,http://www.ahcpsl.com/,1861 SW Gatlin Blvd Port St Lucie FL 34953,Unknown,Veterinary - Full service animal hospital emergency treatment routine medical surgical dental care licensed FL veterinarians treating all types of pets
The Surgical Center of Treasure Coast,Not specified,(772) 398-9898,tiffany.betts@scasurgery.com,https://sctcfl.com/,Next to Florida Orthopaedic Specialists Stuart FL,Unknown,Ambulatory Surgery Center - Orthopedic surgery state licensed AAAHC accredited Medicare certified sports injuries degenerative diseases musculoskeletal disorders
Coastal Orthopaedic & Sports Medicine Center,Edward J. Rossario MD,Port St. Lucie: (772) 335-5300 Stuart: (772) 283-5500,Not specified,https://coastal-orthopaedic.com/,Port St. Lucie: 7710 US Hwy 1 Port St. Lucie FL 34952 Stuart: 2221 SE Ocean Blvd Suite 200 Stuart FL 34996,Unknown,Orthopedic Surgery - Board certified physicians fellowship trained treat full range orthopaedic conditions surgical and nonsurgical options
Florida Orthopaedic Specialists,Not specified,Not specified,Not specified,https://www.floridaorthopaedicspecialists.com/,Port St. Lucie and Stuart FL,Unknown,Orthopedic Medicine - Board certified fellowship trained physicians MRIs x-rays physical therapy surgical procedures same-day appointments walk-ins
MD Now Urgent Care Vero Beach,Not specified,Not specified,Not specified,https://www.mymdnow.com/locations/treasure-coast/vero-beach,Vero Beach FL Miracle Mile Plaza,Unknown,Urgent Care - Licensed physicians diagnosis treatment lab tests x-rays vaccinations
Vero Beach Dentistry,Dr. Ember Courtney-Lima Dr. Anthony Lima,(772) 562-5700,Not specified,https://verobeach-dentistry.com/,963 37th Place Vero Beach FL 32963,Unknown,Dental - Family-owned practice established 1996 general dentistry cosmetic dentistry dental implants veneers fillings teeth whitening
Highlands Animal Hospital,Not specified,(772) 388-1883,Not specified,https://highlandsanimalhospital.net/,433 Sebastian Blvd Sebastian FL 32958,Unknown,Veterinary - Full-service animal hospital emergency treatment routine medical surgical dental care small animal veterinarian
Sunshine Physical Therapy Clinic,Not specified,(772) 562-6877,Not specified,https://www.sunshineptc.org/,1705 17th Avenue Vero Beach FL 32960,Unknown,Physical Therapy - Non-profit outpatient rehabilitation center physical occupational speech therapy serving Treasure Coast since 1953
The Orthopaedic Center of Vero Beach,Not specified,(772) 794-1234,Not specified,https://orthocentervb.com/physical-therapy/,Vero Beach FL,Unknown,Physical Therapy - Personalized physical therapy treatment for Treasure Coast patients
Hometown Pet Care Center,Dr. Eric Wilsnack (Founder),Not specified,Not specified,https://www.hometownpetcarecenter.com/,827 Sebastian Blvd Sebastian FL 32958,Unknown,Veterinary - Practicing over 30 years since 1984 located at original site since 1995
MD Now Urgent Care Jensen Beach,Not specified,(772) 692-8082,Not specified,https://www.mymdnow.com/locations/treasure-coast/jensen-beach,1801 NE Jensen Beach Blvd Jensen Beach FL 34957,Unknown,Urgent Care - Walk-in clinic for unexpected medical injuries and illnesses open 7 days a week
St. Lucie Center for Cosmetic Dentistry,Dr. Hans Almanzar,(772) 242-4124,Not specified,https://www.stluciedentist.com/,139 SW Port St Lucie Blvd Port St. Lucie FL 34984,Unknown,Dental - Cosmetic dentistry family dentistry emergency dentist implants veneers fillings teeth whitening gum disease treatment
Cleveland Clinic Health and Wellness Center Hobe Sound,Not specified,(772) 223-4943,Not specified,https://my.clevelandclinic.org/locations/directions/559-health-and-wellness-center-hobe-sound,11600 SE Federal Hwy Hobe Sound FL 33455,Unknown,Medical Clinic - Family medicine internal medicine health fitness massage therapy occupational therapy physical therapy podiatry primary care rehabilitation wellness
St. Lucie Surgical Center,Not specified,(772) 464-8900,Not specified,https://npino.com/surgery-center/1790761393-st.-lucie-surgical-center,-p.a./,1707 S 25th St Fort Pierce FL 34947,Unknown,Ambulatory Surgery Center - Cataract surgery endoscopy colonoscopy biopsy laser surgery injection spine procedures NPI 1972545291
Veterinary Medical Center of St. Lucie County,Not specified,(772) 337-8570,Not specified,https://vetmedcenterslc.com/,Port St. Lucie FL,Unknown,Veterinary - 24/7 emergency care comprehensive pet services wellness surgery for Port St. Lucie and Fort Pierce
