business_name,address,phone,email,contact_name
Cleveland Clinic Indian River Hospital,"1000 36th St, Vero Beach, FL 32960",772-567-4311,info@ccir.org,
St. Lucie Medical Center,"1000 SE Sunrise Blvd, Port St. Lucie, FL 34983",772-335-4000,info@slmc.com,
Martin Health System,"200 SE Hospital Ave, Stuart, FL 34994",772-223-5000,info@martinhealth.org,
Indian River Medical Center,"1000 36th St, Vero Beach, FL 32960",772-567-4311,info@irmc.org,
Treasure Coast Urgent Care,"2191 SE Ocean Blvd, Stuart, FL 34996",772-283-5333,info@tcurgentcare.com,
Jensen Beach Medical Clinic,"4188 NE Ocean Blvd, Jensen Beach, FL 34957",772-334-5959,info@jbmedical.com,
Port St. Lucie Family Health,"1033 SE Port St Lucie Blvd, Port St. Lucie, FL 34984",772-878-5900,info@pslfh.com,
Vero Beach Walk-In Clinic,"1645 16th Ave, Vero Beach, FL 32960",772-562-0666,info@vbwalkin.com,
Fort Pierce Medical Center,"1015 Delaware Ave, Fort Pierce, FL 34950",772-468-0400,info@fpmc.com,
Palm City Family Medicine,"3800 SW Mapp Rd, Palm City, FL 34990",772-219-0100,info@pcfamilymed.com,
Hobe Sound Primary Care,"11695 SE Federal Hwy, Hobe Sound, FL 33455",772-546-5820,info@hsprimarycare.com,
Sebastian River Medical Center,"11135 US-1, Sebastian, FL 32958",772-388-2000,info@srmedical.com,
Stuart Family Health Center,"2300 SE Salerno Rd, Stuart, FL 34997",772-221-1200,info@sfhc.com,
Jensen Beach Urgent Care,"4250 NW US Hwy 1, Jensen Beach, FL 34957",772-334-5080,info@jburgentcare.com,
Port St. Lucie Pediatric Clinic,"540 NW University Dr, Port St. Lucie, FL 34986",772-878-6100,info@pslpeds.com,
