business_name,category,email,phone,address,url,metro
Trident Management,property_manager,George@TridentMiami.com,(305) 389-3190,,https://tridentmiami.com/,Miami Metro
Miami Management Inc,property_manager,guillermo@miamimanagement.com,(305) 378-0130,"14275 SW 142 Avenue, Miami, FL 33186",https://www.miamimanagement.com/,Miami Metro
Miami Management Inc,property_manager,egonzalez@miamimanagement.com,(305) 378-0130,"14275 SW 142 Avenue, Miami, FL 33186",https://www.miamimanagement.com/,Miami Metro
Florida Property Management Strategies,property_manager,,(786) 358-0024,"12964 SW 133rd Ct, Miami, FL",https://www.myfpms.com/,Miami Metro
KW Property Management & Consulting,property_manager,,,"https://kwpmc.com/",Miami Metro
Allied Property Group & Solutions,property_manager,,(305) 232-1579,,https://alliedpropertygroup.net/,Miami Metro
Miami Property Management LLC,property_manager,,(305) 428-3904,,https://www.miamipropertymanagementllc.com/,Miami Metro
HomeRiver Group Miami,property_manager,,,"https://www.miami-propertymanagement.net/",Miami Metro
FirstService Residential Miami,property_manager,,,"https://www.fsresidential.com/florida/florida-areas-we-serve/miami-property-management/",Miami Metro
Vesta Property Services Miami,property_manager,,(305) 552-7855,"13595 SW 134 Ave, Ste 108 Miami, FL 33186",https://vestapropertyservices.com/miami/,Miami Metro
Florida Property Realty,property_manager,management@floridapropertyrealty.com,(954) 752-4800,,https://floridapropertyrealty.com/fort-lauderdale-property-management/,Miami Metro
Berger Commercial Realty,property_manager,,,"550 S. Andrews Avenue, Suite 400, Fort Lauderdale, FL 33301",https://bergercommercial.com/,Miami Metro
Sharpe Properties,property_manager,,(305) 693-3500,,https://sharpeproperties.com/property-management/,Miami Metro
Asset Management & Realty,property_manager,,(954) 415-7536,"P.O. Box 1558, Fort Lauderdale, FL",http://www.assetmanagement-realty.com/,Miami Metro
Stiles Property Management,property_manager,,,"https://www.stiles.com/property-management/",Miami Metro
JMK Contractor,contractor,,(305) 367-8392,,https://jmkcontractor.com/,Miami Metro
Eco General Contractors,contractor,,(888) 257-8514,,https://ecogeneralcontractors.com/locations/miami-fl/,Miami Metro
Florida General Contractors,contractor,,(305) 607-7064,"2645 Executive Park Rd. Suite 240 Weston, FL 33331",https://flageneralcontractors.com/,Miami Metro
Treo Construction,contractor,,(305) 851-2130,,https://www.treoconstruction.com/miami-general-contractors/,Miami Metro
RRR General Contractor,contractor,,(786) 234-9395,,https://rrrgeneralcontractor.com/,Miami Metro
Florida One General Contractors,contractor,,(305) 505-4015,"Miami, FL 33181",https://www.thebluebook.com/iProView/1321967/florida-one-general-contractors-inc/general-contractors/,Miami Metro
Bay Plumbing Co,contractor,,(305) 446-8141,,https://www.bayplumbingco.com/,Miami Metro
Roto-Rooter Miami,contractor,,(305) 535-2373,,https://www.rotorooter.com/miami/,Miami Metro
Marlin Plumbing Of Miami,contractor,,,"https://www.marlinplumbing.net/",Miami Metro
Eco 1 Plumbing Miami,contractor,,(786) 864-8555,,https://eco1plumbingmiami.com/plumbing-service-areas/miami-plumber/,Miami Metro
Lion Plumbing,contractor,,(305) 597-4555,,https://www.lionplumbinginc.com/,Miami Metro
Falcon Plumbing,contractor,,(305) 251-7333,,https://falconplumbing.net/,Miami Metro
Douglas Orr Plumbing,contractor,,,"https://orrplumbing.com/,Miami Metro
People's Plumbing & Mechanical,contractor,,(305) 885-7473,,https://www.peoplesplumbing.com/,Miami Metro
Miami 24/7 Plumbing,contractor,,(305) 440-0878,,https://www.miami247plumbing.com/plumbers-in-miami-beach,Miami Metro
Thunder Electrical Contractors,contractor,,,"7035-F SW 47 Street Miami, Florida 33155",https://www.thunder-electric.com/,Miami Metro
S.E. Bates Electric,contractor,,(786) 304-2328,,https://se.bates-electric.com/locations/miami-fl/,Miami Metro
Mister Sparky Miami,contractor,,(305) 257-9731,,https://www.mistersparky.com/miami/,Miami Metro
