business_name,website,phone,email,city,state,metro,region,category,lead_type,priority,source,notes,contact_name
AZ Prime Property Management,https://azprimepropertymanagement.com/,(480) 449-6632,,Tempe,AZ,Phoenix,Mountain,Property Management,client,High,phoenix_scraper_20260222,"Phoenix metro Property Management - scraped 2026-02-22 03:00:00",
Guardian Realty & Management,https://gramhomes.com/,602-861-2300,,Phoenix,AZ,Phoenix,Mountain,Property Management,client,High,phoenix_scraper_20260222,"Phoenix metro Property Management - scraped 2026-02-22 03:00:00",
All County Prestige,https://www.allcountyprop.com/locations/arizona/phoenix/,602-753-0333,,Phoenix,AZ,Phoenix,Mountain,Property Management,client,High,phoenix_scraper_20260222,"Phoenix metro Property Management - scraped 2026-02-22 03:00:00",
Mesa Property Management,https://www.mesapropertymanagement.com/Phoenix-property-management,480-981-1430,,Phoenix,AZ,Phoenix,Mountain,Property Management,client,High,phoenix_scraper_20260222,"Phoenix metro Property Management - scraped 2026-02-22 03:00:00",
Phoenix Property Management,https://www.phoenixpropertymanagement.biz/,602-714-7933,support@propertymanagerwebsites.com,Phoenix,AZ,Phoenix,Mountain,Property Management,client,High,phoenix_scraper_20260222,"Phoenix metro Property Management - scraped 2026-02-22 03:00:00",
TCS Management AZ,https://www.tcsmgt.com/service-area/phoenix-property-management/,(888) 827-6485,,Phoenix,AZ,Phoenix,Mountain,Property Management,client,High,phoenix_scraper_20260222,"Phoenix metro Property Management - scraped 2026-02-22 03:00:00",
Helios PM,https://helios.rent/,480-900-1465,,Phoenix,AZ,Phoenix,Mountain,Property Management,client,High,phoenix_scraper_20260222,"Phoenix metro Property Management - scraped 2026-02-22 03:00:00",
Taylor Street Property Management,https://taylorstmgmt.com/,,info@taylorstmgmt.com,Phoenix,AZ,Phoenix,Mountain,Property Management,client,High,phoenix_scraper_20260222,"Phoenix metro Property Management - scraped 2026-02-22 03:00:00",
McMath Realty,https://mcmathrealty.com/,(602) 340-1222,,Phoenix,AZ,Phoenix,Mountain,Property Management,client,High,phoenix_scraper_20260222,"Phoenix metro Property Management - scraped 2026-02-22 03:00:00",
Red Hawk Property Management,https://redhawkpropertymanagement.com/phoenix-property-management/,480-396-9766,,Phoenix,AZ,Phoenix,Mountain,Property Management,client,High,phoenix_scraper_20260222,"Phoenix metro Property Management - scraped 2026-02-22 03:00:00",
Rentals America Property Management,https://www.rentalsamericaphoenix.com/,,phoenix@rentalsamerica.com,Phoenix,AZ,Phoenix,Mountain,Property Management,client,High,phoenix_scraper_20260222,"Phoenix metro Property Management - scraped 2026-02-22 03:00:00",
