business_name,address,phone,email,contact_name,city,website,source
Doctor Home - We Buy Houses LLC,"3901 SW Kamsler St, Port Saint Lucie, FL 34953-4046","(772) 837-5464",,Yully J. Matityahu,Port St Lucie,https://drhomeforcash.com/,BBB
HomeVestors®,"2707 Summer Lake Ct, Melbourne, FL 32940","(321) 468-1690",,,Melbourne,Serves Treasure Coast,BBB
We Buy Ugly Houses,"521 N Harbor City Blvd, Melbourne, FL 32935-6873","(321) 421-6056",,,Melbourne,Serves Treasure Coast,BBB
Investor Agent PM LLC,"11538 Biography Way, Orlando, FL 32832-5091","(407) 490-1848",,,Orlando,Serves Treasure Coast,BBB
Elite Investors Realty Luxury Real Estate,"Apopka, FL 32712-4433","(407) 557-7113",,,Apopka,Serves Treasure Coast,BBB
Central Florida Property Investors LLC,"915 Doyle Rd STE 303-106, Deltona, FL 32725-8254","(407) 417-7709",,,Deltona,Serves Treasure Coast,BBB
RDA Home Investors, Inc.,"1121 S Military Trl # 351, Deerfield Beach, FL 33442-7645","(954) 964-8310",,,Deerfield Beach,Serves Treasure Coast,BBB
National Property Investors, Inc.,"PO Box 451311, Sunrise, FL 33345-1311","(866) 918-1311",,,Sunrise,Serves Treasure Coast,BBB
Taylor Made Investors,"221 W Hallandale Beach Blvd, Hallandale Beach, FL 33009-5441","(954) 519-5619",,,Hallandale Beach,Serves Treasure Coast,BBB
Citrine Investors LLC,"18851 NE 29th Ave STE 700, Miami, FL 33180-2845","(800) 232-3982",,,Miami,Serves Treasure Coast,BBB
Dave Dinkel Real Estate Investor And Educator,"PO Box 700723, Saint Cloud, FL 34770-0723","(954) 274-1003",,Dave Dinkel,Saint Cloud,Serves Treasure Coast,BBB
Real MP Creative Real Estate Investors, LLC,"4640 Zoltan Dr, Titusville, FL 32780","(407) 538-0259",,,Titusville,Serves Treasure Coast,BBB
Florida International Investors Realty LLC,"401 Burns Ln STE 401, Winter Haven, FL 33884-1147","(863) 255-8227",,,Winter Haven,Serves Treasure Coast,BBB
D L H B Investors Group, Inc,"13621 SW 160TH COURT, MIAMI, FL 33196","(305) 469-8386",,,Miami,Serves Treasure Coast,BBB
Fri Investors, Inc.,"2090 Palm Beach Lakes Blvd, West Palm Beach, FL 33401","(561) 615-3903",,,West Palm Beach,Serves Treasure Coast,BBB
