name,phone,website,address,city,state,type
SA Recycling Stuart,772-210-2992,https://www.sarecycling.com/yard/sa-recycling-stuart/,"3951 SE Commerce Ave, Stuart, FL 34997",Stuart,FL,Recycling
Capital Scrap Metal - Stuart,(772) 210-2992,https://www.capitalscrapmetal.com/metal-recycling/centers/stuart/,"3951 SE Commerce Ave, Stuart, FL 34997",Stuart,FL,Recycling
PSL Recycling: Stuart,772.463.1663,https://www.portstlucierecycling.com/,"2963 SE Dominica Ter, Stuart, FL 34997",Stuart,FL,Recycling
City of Stuart Recycling Services,772-600-1206,https://stuartfl.gov/242/Recycling-Services,"Stuart, FL",Stuart,FL,Recycling
Solid Waste Transfer & Recycling Facility,(772) 288-5400,https://www.martin.fl.us/TransferFacility,"2401 SE Monterey Road, Stuart, FL 34996",Stuart,FL,Recycling
Republic Services - Jensen Beach,,https://www.republicservices.com/locations/florida/jensen-beach-trash-pickup-and-recycling,"Jensen Beach, FL",Jensen Beach,FL,Recycling
2nd Chance Salvage,772-461-2222,https://2ndchancesalvage.com/,"1303 Angle Rd, Fort Pierce, FL 34947",Fort Pierce,FL,Recycling
East Coast Recycling,772-461-5833,http://www.ecrfl.com/,"Fort Pierce, FL",Fort Pierce,FL,Recycling
Port St. Lucie Solid Waste Recycling,772-871-1775,https://www.cityofpsl.com/Government/Your-City-Government/Departments/Office-of-Solid-Waste/Recycling,"Port St. Lucie, FL",Port St Lucie,FL,Recycling
Port St. Lucie Drop-off Center,772-462-1768,https://www.cityofpsl.com/Government/Your-City-Government/Departments/Office-of-Solid-Waste/Convenient-Drop-off-Center,"Port St. Lucie, FL",Port St Lucie,FL,Recycling
St. Lucie County Solid Waste Division,,https://www.stlucieco.gov/business/solid-waste-recycling,"St. Lucie County, FL",St. Lucie County,FL,Recycling
