business_name,address,phone,email,contact_name,city
Berry Fresh Cafe,"1429 SE Federal Hwy, Stuart, FL 34994",(772) 324-8287,,,Stuart
Bolly Twist,"5563 SE Federal Hwy, Stuart, FL 34997",(772) 210-6793,,,Stuart
Brothers' Q BBQ,"2454 SE Indian Street, Stuart, FL 34997",(484) 619-4189,,,Stuart
Crabby's Oyster Bar,"1868 NE Jensen Beach Blvd, Jensen Beach, FL 34957",(772) 232-6991,,,Jensen Beach
Giordi,,(772) 771-3160,,,Stuart
King Neptune Restaurant,"4795 SE Dixie Hwy, Stuart, FL 34997",(772) 287-9630,,,Stuart
Michelina's Italian Restaurant & Catering,"1835 SE Federal Hwy, Stuart, FL 34994",(772) 286-3455,,,Stuart
Miller's Ale House,"3611 NW Federal Hwy, Jensen Beach, FL 34957",(772) 692-3611,,,Jensen Beach
Namaste Grill,"2500 SE Federal Hwy, Stuart, FL 34994",(772) 283-5515,,,Stuart
Oak & Ember Steakhouse,,(772) 444-6299,,,Stuart
Piatto Divino,"2891 SE Ocean Blvd, Stuart, FL 34996",(772) 872-6971,,,Stuart
Riverwalk Cafe and Oyster Bar,"201 SW St Lucie Ave, Stuart, FL 34994",(772) 221-1511,,,Stuart
Stack: Burgers,,(772) 254-4373,,,Stuart
Brock's Surfside Grill & Pizza,,(772) 229-9885,,,Stuart
The Chef's Table,"2313 SE Ocean Blvd, Stuart, FL 34996",(772) 287-5599,,,Stuart
