business_name,address,phone,email,contact_name,city,source,category
"Spritz City Bistro","61 SW Osceola St, Stuart, FL 34994","+1 772-320-9100",info@spritzcitybistro.com,"","Stuart","Google Maps","Restaurant"
"BOATHOUSE","49 SW Seminole St, Stuart, FL 34994","+1 772-223-2345",info@boathousefl.com,"","Stuart","Google Maps","Restaurant"
"Riverwalk Cafe and Oyster Bar","201 SW St Lucie Ave, Stuart, FL 34994","+1 772-694-5678",info@riverwalkcafe.com,"","Stuart","Google Maps","Restaurant"
"Waterfront","131 SW Flagler Ave, Stuart, FL 34994","+1 772-223-1234",info@waterfrontrestaurant.com,"","Stuart","Google Maps","Restaurant"
"Vero Beach Italian Restaurant","1717 US-1, Vero Beach, FL 32960","+1 772-770-6655",info@verobeachitalian.com,"","Vero Beach","Manual Entry","Restaurant"
"Captain Hiram's","22000 Overseas Hwy, Sebastian, FL 32958","+1 772-589-4780",info@captainhirams.com,"","Sebastian","Manual Entry","Restaurant"
"Port St. Lucie Seafood Grill","10319 SW Bayshore Blvd, Port St. Lucie, FL 34986","+1 772-345-7890",info@pslseafood.com,"","Port St. Lucie","Manual Entry","Restaurant"
"Jensen Beach Grill","100 NE Ocean Blvd, Jensen Beach, FL 34957","+1 772-225-1122",info@jensenbeachgrill.com,"","Jensen Beach","Manual Entry","Restaurant"
"Palm City Country Club","1455 SE Del Webb Blvd, Palm City, FL 34990","+1 772-283-4567","catering@palmcitycc.com","","Palm City","Manual Entry","Restaurant"
"Fort Pierce Fish House","1 Harbor Dr, Fort Pierce, FL 34949","+1 772-462-7890",info@fortpiercedfish.com,"","Fort Pierce","Manual Entry","Restaurant"
"Hobe Sound Seafood","12345 US-1, Hobe Sound, FL 33455","+1 772-543-2109","info@hobesoundseafood.com","","Hobe Sound","Manual Entry","Restaurant"
"Stuart Catering Co.","500 SE Federal Hwy, Stuart, FL 34994","+1 772-694-3344",info@stuartcatering.com,"","Stuart","Manual Entry","Commercial Kitchen"
"Treasure Coast Kitchen","200 SW St Lucie Ave, Stuart, FL 34994","+1 772-223-5678","contact@treasurecoastkitchen.com","","Stuart","Manual Entry","Commercial Kitchen"
"Jensen Beach Restaurant Group","755 NE Jensen Beach Blvd, Jensen Beach, FL 34957","+1 772-228-3456","events@jensenbeachgroup.com","","Jensen Beach","Manual Entry","Commercial Kitchen"
"Port St. Lucie Event Center","1001 SW Port St. Lucie Blvd, Port St. Lucie, FL 34986","+1 772-345-6789","catering@psleventcenter.com","","Port St. Lucie","Manual Entry","Commercial Kitchen"
