name,phone,website,address,city,state,type,date_found,market
The Jupiter Grill,(561) 746-8111,https://www.thejupitergrill.com/,500 S US Highway 1,Jupiter,FL,Restaurant,2026-02-17,Jupiter
South Fork Kitchen & Bar,(772) 287-4801,https://www.southforkkitchenandbar.com/,825 SE Federal Highway,Stuart,FL,Restaurant,2026-02-17,Stuart
Kitchen Restaurant,(561) 340-3443,https://www.kitchenwpb.com/,319 Belvedere Rd,West Palm Beach,FL,Restaurant,2026-02-17,Palm Beach
The Cooper Craft Kitchen & Bar,(561) 627-0000,https://www.thecooperrestaurant.com/,11401 N Military Trl,Palm Beach Gardens,FL,Restaurant,2026-02-17,Palm Beach
Commercial Kitchen of Naples,(239) 331-8264,https://www.commercialkitchenofnaples.com/,3995 Tamiami Trail E,Naples,FL,Commercial Kitchen,2026-02-17,Naples
Your Culinary Place,(941) 552-8520,https://www.yourculinaryplace.com/,6592 Gateway Ave,Sarasota,FL,Commercial Kitchen,2026-02-17,Sarasota
The Sailor's Return,(772) 872-7388,https://www.thesailorsreturn.com/,100 SW Flagler Ave,Stuart,FL,Restaurant,2026-02-17,Stuart
Spritz City Bistro,(772) 221-5566,https://www.spritzcitybistro.com/,219 SW Ocean Blvd,Stuart,FL,Restaurant,2026-02-17,Stuart
Michael's On East,(941) 366-0007,https://www.michaelsontheast.com/,1212 East Ave S,Sarasota,FL,Restaurant,2026-02-17,Sarasota
Ruth's Chris Steak House,(561) 748-9535,https://www.ruthschris.com/locations/fl/jupiter/,1100 W Indiantown Rd,Jupiter,FL,Restaurant,2026-02-17,Jupiter
Lewis Steakhouse,(561) 744-8169,https://www.lewissteakhouse.com/,1655 W Indiantown Rd,Jupiter,FL,Restaurant,2026-02-17,Jupiter
Joey's Kitchen & Catering,(772) 781-5639,https://www.joeyskitchenfoodtruck.com/,2140 SE Federal Hwy,Stuart,FL,Catering,2026-02-17,Stuart
Deliteful Kitchen Catering,(772) 678-7343,,Stuart,FL,Catering,2026-02-17,Stuart
