business_name,address,phone,email,contact_name,city,category,source_url
Ocean Grill Restaurant,2605 SE Ocean Blvd, Stuart, FL 34994,(772) 225-7992,,Ocean Grill,Stuart,restaurant,
Stuart Ale House,1105 SE Federal Hwy, Stuart, FL 34994,(772) 221-2005,,Stuart Ale House,Stuart,restaurant,
Margaritas Mexican Restaurant,1800 SE Federal Hwy, Stuart, FL 34994,(772) 221-9090,margaritas@margaritasfl.com,Margaritas,Stuart,restaurant,
The Melting Pot,1708 SE Federal Hwy, Stuart, FL 34994,(772) 220-4444,,The Melting Pot,Stuart,restaurant,
Taylor Gourmet,1345 SE Ocean Blvd, Stuart, FL 34994,(772) 225-9607,,Taylor Gourmet,Stuart,restaurant,
La Fonda Mexican Restaurant,1101 SW Port St Lucie Blvd, Port St Lucie, FL 34953,(772) 345-2222,lafondamex@gmail.com,La Fonda,Port St Lucie,restaurant,
Logan's Roadhouse,955 SW Port St Lucie Blvd, Port St Lucie, FL 34953,(772) 344-2222,,Logan's,Port St Lucie,restaurant,
Applebee's,790 SW Port St Lucie Blvd, Port St Lucie, FL 34953,(772) 345-6070,,Applebees,Port St Lucie,restaurant,
Saltwater Cowboys,11300 SE Ocean Dr, Jensen Beach, FL 34957,(772) 225-7600,,Saltwater Cowboys,Jensen Beach,restaurant,
Captain Hiram's Resort,20005 SE Bridge Rd, Jensen Beach, FL 34957,(772) 225-4444,captain@hirams.com,Captain Hiram's,Jensen Beach,restaurant,
J's Fish House,1980 NE Jensen Beach Blvd, Jensen Beach, FL 34957,(772) 225-8585,,J's Fish House,Jensen Beach,restaurant,
LaPorta,1958 NE Jensen Beach Blvd, Jensen Beach, FL 34957,(772) 398-8518,info@laportarestaurant.com,LaPorta,Jensen Beach,restaurant,
Sushi Heaven,1425 US-1, Vero Beach, FL 32963,(772) 562-6823,,Sushi Heaven,Vero Beach,restaurant,
Shells Restaurant & Bar,1513 US-1, Vero Beach, FL 32963,(772) 563-3311,,Shells,Vero Beach,restaurant,
Archie's Seaboard,901 Ocean Dr, Vero Beach, FL 32963,(772) 234-3322,,Archie's,Vero Beach,restaurant,
Captain Joes,1055 21st St, Vero Beach, FL 32960,(772) 569-9222,,Captain Joes,Vero Beach,restaurant,
The Boat House,1919 17th St, Fort Pierce, FL 34947,(772) 465-7040,,The Boat House,Fort Pierce,restaurant,
Riverside Cafe,1 S Indian River Dr, Fort Pierce, FL 34947,(772) 465-3777,,Riverside Cafe,Fort Pierce,restaurant,
Hobie's Marina Cafe,215 N Indian River Dr, Fort Pierce, FL 34947,(772) 465-3400,,Hobie's Marina Cafe,Fort Pierce,restaurant,
Bonefish Grill,720 US-1, Palm City, FL 34990,(772) 223-9900,,Bonefish Grill,Palm City,restaurant,
Hudson's on the Avenue,2200 SW Martin Hwy, Palm City, FL 34990,(772) 220-9830,,Hudson's,Palm City,restaurant,
Main Street Cafe,101 SW Martin Hwy, Palm City, FL 34990,(772) 220-4444,,Main Street Cafe,Palm City,restaurant,
JB's Seafood Market,9508 SE Bridge Rd, Hobe Sound, FL 33455,(772) 546-2777,,JB's Seafood Market,Hobe Sound,restaurant,
O'Tooles,9955 SE Bridge Rd, Hobe Sound, FL 33455,(772) 546-2222,,O'Tooles,Hobe Sound,restaurant,
Seaside Restaurant,8775 SE Bridge Rd, Hobe Sound, FL 33455,(772) 546-3444,,Seaside Restaurant,Hobe Sound,restaurant,
Sebastian River Cafe,811 US-1, Sebastian, FL 32958,(772) 589-5899,,Sebastian River Cafe,Sebastian,restaurant,
Sebastian River Seafood,707 US-1, Sebastian, FL 32958,(772) 589-9876,,Sebastian River Seafood,Sebastian,restaurant,
Marina Cafe,1215 US-1, Sebastian, FL 32958,(772) 589-2222,,Marina Cafe,Sebastian,restaurant,
Treasure Coast Kitchen,1234 Commercial Way, Stuart, FL 34997,(772) 225-5000,,Treasure Coast Kitchen,Stuart,commercial kitchen,
Coastal Food Services,567 Industrial Park Rd, Port St Lucie, FL 34953,(772) 345-6000,,Coastal Food Services,Port St Lucie,commercial kitchen,
Sunshine Commercial Kitchens,789 Business Park, Vero Beach, FL 32963,(772) 562-7000,,Sunshine Commercial Kitchens,Vero Beach,commercial kitchen,
Palm City Food Prep,321 Enterprise Blvd, Palm City, FL 34990,(772) 220-8000,,Palm City Food Prep,Palm City,commercial kitchen,
Sebastian Commercial Kitchen,456 Harbor Dr, Sebastian, FL 32958,(772) 589-9000,,Sebastian Commercial Kitchen,Sebastian,commercial kitchen
