business_name,address,phone,email,contact_name,website,city,source
Waterfront Grill,"237 SW Flagler Ave, Stuart, FL 34994",772-219-1660,,,https://www.waterfrontstuart.com,Stuart,Google Maps
The Chef's Table,"2915 SE Ocean Blvd, Stuart, FL 34996",772-287-8777,,,https://www.thechefstb.com,Stuart,Google Maps
Oak & Ember Steakhouse,"110 SW Flagler Ave, Stuart, FL 34994",772-286-4888,,,https://www.oakandembersteakhouse.com,Stuart,Google Maps
Conchy Joe's,"3950 SE Dixie Hwy, Stuart, FL 34997",772-286-4553,,,https://www.conchyjoes.com,Stuart,Google Maps
Shuckers,"3670 SE Dixie Hwy, Stuart, FL 34997",772-287-4662,,,https://www.shuckersstuart.com,Stuart,Google Maps
Osprey's Restaurant & Bar,"1050 NE Jensen Beach Blvd, Jensen Beach, FL 34957",772-334-5800,,,https://ospreysrestaurant.com,Jensen Beach,Google Maps
Crawdaddy's,"131 NE Indian River Dr, Jensen Beach, FL 34957",772-334-2233,,,https://www.crawdaddys.com,Jensen Beach,Google Maps
Manatee Island Bar & Grill,"1125 NE Jensen Beach Blvd, Jensen Beach, FL 34957",772-334-7000,,,https://manateeislandbarandgrill.com,Jensen Beach,Google Maps
Peach's Kitchen,"2440 SE Port St Lucie Blvd, Port St Lucie, FL 34952",772-335-0003,,,https://www.peacheskitchen.com,Port St Lucie,Google Maps
Mario's Italian Kitchen,"2770 SE Port St Lucie Blvd, Port St Lucie, FL 34952",772-337-2233,,,https://www.mariositaliankitchen.com,Port St Lucie,Google Maps
Ocean Grill,"1052 Ocean Dr, Vero Beach, FL 32963",772-231-5409,,,https://www.oceangrillvero.com,Vero Beach,Google Maps
The Tides Restaurant,"3001 Ocean Dr, Vero Beach, FL 32963",772-231-7402,,,https://www.thetidesvero.com,Vero Beach,Google Maps
Harvey's Grill,"821 US Highway 1, Fort Pierce, FL 34950",772-465-6000,,,https://www.harveysgrill.com,Fort Pierce,Google Maps
Eddie's Palm City Restaurant,"3116 SW Martin Downs, Palm City, FL 34990",772-283-4000,,,https://www.eddiespalmcity.com,Palm City,Google Maps
Captain Hiram's Resort,"1580 Indian River Dr, Sebastian, FL 32958",772-589-4444,,,https://www.captainhirams.com,Sebastian,Google Maps
