business_name,phone,email,website,address,city,state,category,source,date_found,priority,contacted,notes,lead_type,market_phase
StorageMart,,,@storage-mart.com,https://www.storage-mart.com/stuart/0572-se-indian-st-34997,1445 SE Indian St,Stuart,FL,Storage,websearch,2026-02-17,Medium,No,Climate controlled and RV storage available,Self Storage,Phase 1
Penn Plaza Self Storage,(772) 283-4644,,http://pennplazaselfstoragestuart.com/,1180 SE Monterey Rd,Stuart,FL,Storage,websearch,2026-02-17,Medium,No,Business and boat storage available,Self Storage,Phase 1
Stor-A-Way Mini Storage,,,@storawayministorage.com,https://www.storawayministorage.com/,5094 SE Federal Hwy,Stuart,FL,Storage,websearch,2026-02-17,Medium,No,Multiple locations in Stuart area,Self Storage,Phase 1
Prime Storage Stuart,,,@primestorage.com,https://primestorage.com/locations/FL/stuart/FL38/,6301 SE Federal Hwy,Stuart,FL,Storage,websearch,2026-02-17,Medium,No,Part of Prime Storage Group chain,Self Storage,Phase 1
CubeSmart Stuart,,,@cubesmart.com,https://www.cubesmart.com/florida-self-storage/stuart-self-s,700 SW Federal Hwy,Stuart,FL,Storage,websearch,2026-02-17,Medium,National chain with multiple locations,Self Storage,Phase 1
Extra Space Storage Stuart,,,@extraspace.com,https://www.extraspace.com/storage/facilities/us/florida/stu,2990 SE Gran Park Way,Stuart,FL,Storage,websearch,2026-02-17,Medium,No,National storage company,Self Storage,Phase 1
Space Station Storage,,,@spacestationstorage.net,https://spacestationselfstorage.net/,2527 SE Federal Hwy,Stuart,FL,Storage,websearch,2026-02-17,Medium,No,Local Stuart storage facility,Self Storage,Phase 1
Plantation Storage of Stuart,,,@plantationstorage.com,https://www.plantationstorage.com/locations/stuart-fl-34997,SE Commerce Ave,Stuart,FL,Storage,websearch,2026-02-17,Medium,No,Offers storage and moving supplies,Self Storage,Phase 1
Prime Storage Jensen Beach,,,@primestorage.com,https://primestorage.com/locations/fl/jensen-beach/FL20/,528 NE Jensen Beach Blvd,Jensen Beach,FL,Storage,websearch,2026-02-17,Medium,No,Prime Storage Group location,Self Storage,Phase 1
Southern Star Storage,,,@southernstarstorage.com,https://www.southernstarstorage.com/locations/jensen-beach-fl,3250 NE Candice Ave,Jensen Beach,FL,Storage,websearch,2026-02-17,Medium,No,24/7 access available,Self Storage,Phase 1
Extra Space Storage Jensen Beach,,,@extraspace.com,https://www.extraspace.com/storage/facilities/us/florida/jen,1400 NE Savannah Road,Jensen Beach,FL,Storage,websearch,2026-02-17,Medium,No,National chain facility,Self Storage,Phase 1
Superior Storage Jensen Beach,,,@superiorstorage.com,https://www.superiorstorage.com/self-storage/florida/jensen-beach,9563 S Ocean Dr,Jensen Beach,FL,Storage,websearch,2026-02-17,Medium,No,Located on South Ocean Drive,Self Storage,Phase 1
SmartStop Self Storage Port St Lucie,,,@smartstopselfstorage.com,https://smartstopselfstorage.com/find-storage/fl/port-st-lucie,501 NW Business Center Dr,Port St Lucie,FL,Storage,websearch,2026-02-17,Medium,No,Modern storage facility,Self Storage,Phase 1
SmartStop Self Storage Macedo,,,@smartstopselfstorage.com,https://smartstopselfstorage.com/find-storage/fl/port-st-lucie,525 SW South Macedo Blvd,Port St Lucie,FL,Storage,websearch,2026-02-17,Medium,No,Second SmartStop location in Port St Lucie,Self Storage,Phase 1
A Plus Storage,,,@aplus-storage.com,https://aplus-storage.com/,8350 S US Hwy 1,Port St Lucie,FL,Storage,websearch,2026-02-17,Medium,No,Local Port St Lucie storage provider,Self Storage,Phase 1
Public Storage Port St Lucie,,,@publicstorage.com,https://www.publicstorage.com/self-storage-fl-port-st-lucie,530 NW University Blvd,Port St Lucie,FL,Storage,websearch,2026-02-17,Medium,No,National public storage chain,Self Storage,Phase 1
