name,contact_person,email,phone,website,city,state,address,type,brands,traffic_level,notes
Bev Smith Kia,Sales Manager,sales@bevsmithkia.com,(772) 466-4400,https://www.bevsmithkia.com,Fort Pierce,FL,"4600 Okeechobee Rd, Fort Pierce, FL 34982",New & Used Car Dealers,Kia,High,Kia showroom & service bays
Bev Smith Toyota,General Manager,sales@bevsmithtoyota.com,(772) 465-6700,https://www.bevsmithtoyota.com,Fort Pierce,FL,"5250 Okeechobee Rd, Fort Pierce, FL 34982",New & Used Car Dealers,Toyota,High,Toyota showroom & service bays
Coggin Acura Treasure Coast,Sales Manager,sales@cogginacuratreasurecoast.com,(772) 465-5700,https://www.cogginacuratreasurecoast.com,Fort Pierce,FL,"4200 US Highway 1, Fort Pierce, FL 34982",New & Used Car Dealers,Acura,High,Luxury brand showroom
Coggin BMW Treasure Coast,General Manager,info@cogginbmwtreasurecoast.com,(772) 344-4700,https://www.cogginbmwtreasurecoast.com,Fort Pierce,FL,"4200 US Highway 1, Fort Pierce, FL 34982",New & Used Car Dealers,BMW,High,Luxury brand showroom
Coggin Honda of Fort Pierce,Sales Manager,sales@cogginhonda.com,(772) 464-6000,https://www.cogginhonda.com,Fort Pierce,FL,"1250 US Highway 1, Fort Pierce, FL 34950",New & Used Car Dealers,Honda,High,Honda showroom & service bays
Mercedes-Benz of Fort Pierce,General Manager,sales@mboffortpierce.com,(772) 466-7800,https://www.mboffortpierce.com,Fort Pierce,FL,"4750 US Highway 1, Fort Pierce, FL 34982",New & Used Car Dealers,Mercedes-Benz,High,Luxury brand showroom
Sutherlin Nissan of Fort Pierce,Sales Manager,sales@sutherlinnissan.com,(772) 466-1800,https://www.sutherlinnissan.com,Fort Pierce,FL,"4250 Okeechobee Rd, Fort Pierce, FL 34982",New & Used Car Dealers,Nissan,High,Nissan showroom & service bays
Palm City Ford,General Manager,sales@palmcityford.com,(772) 221-2800,https://www.palmcityford.com,Palm City,FL,"3585 SW Mapp Rd, Palm City, FL 34990",New & Used Car Dealers,Ford,High,Ford showroom & service bays
Napleton's Alfa Romeo Fiat of Palm Beach,General Manager,info@napletonsalfa.com,(772) 873-5900,https://www.napletonsalfa.com,Port St Lucie,FL,"1011 US Highway 1, Port St Lucie, FL 34952",New & Used Car Dealers,"Alfa Romeo, Fiat",Medium,Luxury brand showroom
Napleton's Hyundai of Palm Beach,Sales Manager,sales@napletonshyundai.com,(772) 873-6200,https://www.napletonshyundai.com,Port St Lucie,FL,"1001 US Highway 1, Port St Lucie, FL 34952",New & Used Car Dealers,Hyundai,Medium,Hyundai showroom & service bays
Napleton's Palm Beach Ford,General Manager,sales@napletons.com,(772) 878-6200,https://www.napletons.com,Port St Lucie,FL,"1101 US Highway 1, Port St Lucie, FL 34952",New & Used Car Dealers,Ford,High,Ford showroom & service bays
Audi Stuart,General Manager,info@audistuart.com,(772) 287-4500,https://www.audistuart.com,Stuart,FL,"3580 SE Federal Hwy, Stuart, FL 34997",New & Used Car Dealers,Audi,High,Luxury brand showroom
Infiniti of Stuart,Sales Manager,sales@infinitiofstuart.com,(772) 287-4500,https://www.infinitiofstuart.com,Stuart,FL,"3580 SE Federal Hwy, Stuart, FL 34997",New & Used Car Dealers,Infiniti,High,Luxury brand showroom
Starling Buick GMC Stuart,Sales Manager,sales@starlingbuickgmc.com,(772) 919-4768,https://www.starlingbuickgmc.com,Stuart,FL,"2445 SE Federal Hwy, Stuart, FL 34994",New & Used Car Dealers,"Buick, GMC",Medium,Buick GMC showroom & service bays
Burdick Mazda of Vero Beach,Sales Manager,sales@burdickmazda.com,(772) 562-0500,https://www.burdickmazda.com,Vero Beach,FL,"4855 US Highway 1, Vero Beach, FL 32967",New & Used Car Dealers,Mazda,Medium,Mazda showroom & service bays
Honda of Vero Beach,Sales Manager,sales@hondaofverobeach.com,(772) 567-8800,https://www.hondaofverobeach.com,Vero Beach,FL,"5625 US Highway 1, Vero Beach, FL 32967",New & Used Car Dealers,Honda,High,Honda showroom & service bays
Volkswagen of Vero Beach,General Manager,sales@vwofverobeach.com,(772) 234-2200,https://www.vwofverobeach.com,Vero Beach,FL,"5605 US Highway 1, Vero Beach, FL 32967",New & Used Car Dealers,Volkswagen,Medium,VW showroom & service bays
Wallace Auto Group,Sales Manager,info@wallaceautogroup.com,(772) 287-3000,https://www.wallaceautogroup.com,Stuart,FL,"3550 SE Federal Hwy, Stuart, FL 34997",New & Used Car Dealers,"Chevrolet, Chrysler, Jeep, Dodge, Ram, Wagoneer, Kia",High,Multiple brands large dealership
RAM Automotive,Owner,info@ramautomotive.com,(772) 461-5522,https://www.ramautomotive.com,Fort Pierce,FL,"161 Melton Dr, Fort Pierce, FL 34982",Auto Repair Shop,Service Center,Medium,Family-owned since 1991
Campbell Automotive,Owner,info@campbellautomotive.com,(772) 286-8441,https://www.campbellautomotive.com,Stuart,FL,"2815 SE Garden St, Stuart, FL 34994",Auto Repair Shop,Service Center,Medium,Family-owned since 2004
