Company,Owner,Email,Quality Score,Issues
"Residential Electrician in Clearwater; FL","NEEDS_ENRICHMENT","info@dunedinelectric.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@dunedinelectric.com"
"Reliable Electrician Clearwater; FL – Hawkins Service","NEEDS_ENRICHMENT","service@hawkinsserviceco.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: service@hawkinsserviceco.com"
"24 Hour Electrician","NEEDS_ENRICHMENT","info@dunedinelectric.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@dunedinelectric.com"
"Tampa FSDO","JUNK_DOMAIN","7-ASO-TPA-FSDO@FAA.GOV",6,"Generic/invalid name: JUNK_DOMAIN; Generic email: 7-ASO-TPA-FSDO@FAA.GOV"
"Contact Us","NEEDS_ENRICHMENT","office@tampabayaviation.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: office@tampabayaviation.com"
"Contact Electrician Professionals in Palm Beach County","NEEDS_ENRICHMENT","office@otherselectric.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: office@otherselectric.com"
"Home","NEEDS_ENRICHMENT","contact@esndelectricllc.com",6,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: contact@esndelectricllc.com"
"Paul Hughes Health Center","JUNK_DOMAIN","Post.CHD06@flhealth.gov",7,"Generic/invalid name: JUNK_DOMAIN; Missing phone"
"ContactUs","NEEDS_ENRICHMENT","Sales@Shapewaist.com",5,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: Sales@Shapewaist.com; Missing phone"
"UF Health Fitness and Wellness Center","JUNK_DOMAIN","MCGEHC@shands.ufl.edu",8,"Generic/invalid name: JUNK_DOMAIN"
"Cold Storage in Florida","NEEDS_ENRICHMENT","info@lsrfreezer.com",5,"Generic/invalid name: NEEDS_ENRICHMENT; Generic email: info@lsrfreezer.com; Missing phone"
