business_name,email,phone,website,city,state,category,lead_type,enrichment_needed,contact_name,notes
Property Boss LLC,Staff@propertybossllc.com,(772) 621-2273,https://www.propertybossllc.com/stuart,Stuart,FL,Property Management,,owner_name,,"Generic staff email. Website is a Wix site. Property management company in Stuart, FL. Could not locate specific owner name online."
Coastal Management Professionals,Accounting@cpmfl.com,561-310-9672,https://coastalmgmtpros.com/property-management-in-stuart-fl/,Stuart,FL,Property Management,,owner_name,,Generic accounting email. Property management company. Could not locate specific owner name online.
JC Epoxy Coatings,randerson3222@yahoo.com,(954) 994-8204,https://jcepoxycoatings.com/,Port St. Lucie,FL,Epoxy Flooring,,owner_name,R. Anderson,"Email ""randerson3222@yahoo.com"" appears to be personal - likely owner is R. Anderson (first initial + last name). JC Epoxy Coatings is an epoxy flooring company in Port St. Lucie."
Maaco Auto Body & Painting Stuart,stuartflmaaco@bellsouth.net,1204650995,https://www.maaco.com/locations/fl/stuart-11152/,Stuart,FL,Auto Body Shop,,owner_name,,"Generic location-based email. This is a Maaco franchise location in Stuart, FL. Maaco is a national chain. Owner likely a franchisee but specific name not found."
Gizze Construction Inc,Gizzeconstruction@gmail.com,772-333-5655,https://gizzeconstructioninc.com/,Port St Lucie,FL,Kitchen Renovation,,owner_name,Gizze,"Email suggests owner name ""Gizze"" (business name is Gizze Construction Inc). Construction company in Port St. Lucie specializing in kitchen renovation."
Signature Property Management,Ira@signaturepropertymgmt.com,772) 219-4474,https://www.signaturepropertymgmt.com/,Stuart,FL,hoa,,owner_name,Ira,"Email ""Ira@signaturepropertymgmt.com"" is personal - owner is likely Ira. Signature Property Management is a property management company in Stuart, FL."
Professional HOA & COA Services in Martin County,esposito@macombgov.org,1016146955,https://www.tamcare.com/hoa-coa-services-martin-county/,Stuart,FL,hoa,,owner_name,,"Email ""esposito@macombgov.org"" is a government email (Macomb County, Michigan), not a business owner. This listing appears to be incorrect - it references TamCare which may not be the actual business entity."
Coastal Property Management – Stuart & Jupiter – Condominium ...,susan.palmieri@cpmfl.com,772-600-8900,https://www.cpmfl.com/,Stuart,FL,hoa,,owner_name,Susan Palmieri,"Email ""susan.palmieri@cpmfl.com"" is clearly personal with full name. Owner is Susan Palmieri. Coastal Property Management serves Stuart & Jupiter areas."
Properties & Communities,kevin@stewartteam.com,(248) 759-5474,https://www.watsonassociationmanagement.com/properties/,Stuart,FL,hoa,,owner_name,Kevin,"Email ""kevin@stewartteam.com"" is personal. Owner is likely Kevin (first name only). Properties & Communities is managed by Watson Association Management."
Home Services at Jensen Beach #221,cgallant@floridaelkscts.org,(844) 476-2140,https://www.homedepot.com/l/Jensen-Beach/FL/Jensen-Beach/34957/221/services,Jensen Beach,FL,restaurant,,owner_name,,"Email ""cgallant@floridaelkscts.org"" is from Florida Elks organization, not a business owner. This appears to be an incorrect listing - references Home Depot location."
Trusted Cleaning Company in Stuart FL,ncsnatyka@gmail.com,772-220-7915,https://www.customcleaningtc.com/,Stuart,FL,cleaning,,owner_name,,
Florida Investment Properties,nabertke@gmail.com,(772) 763-8506,https://www.treasurecoasthomesales.com/buying-investment-properties/,Stuart,FL,real_estate,,owner_name,,
Treasure Coast Real Estate,John@tccommercialre.com,(772) 288-0632,https://www.reeftoranch.com/,Stuart,FL,real_estate,,owner_name,,
Treasure Coast Realty Group,Meluke@treasurecoastrg.com,(772) 288-0632,https://www.treasurecoastrealtygroup.com/,Stuart,FL,real_estate,,owner_name,,
RE/MAX Gold,Meconnormckinney.re@gmail.com,973-508-9425,https://www.remaxgoldflorida.com/,Stuart,FL,real_estate,,owner_name,,
Estate Listings on,spiersrealestate@gmail.com,(868) 622-2685,https://www.slccommercial.com/commercial-real-estate-listings-treasure-coast/,Stuart,FL,real_estate,,owner_name,,
Luxury Homes of the Treasure Coast,Kevin@TradewindRe.com,800-274-6637,https://luxhomestc.com/,Stuart,FL,real_estate,,owner_name,,
Treasure Coast Fl. Real Estate Articles,John@tccommericalre.com,(772) 288-0632,https://realestateexpoinc.com/articles/,Stuart,FL,real_estate,,owner_name,,
Wallace Chevrolet,ewallace@wallacechev.com,772-286-0155,https://www.wallacechevrolet.com/?srsltid=AfmBOopNn__4h6gHfTzP5_LGy-U5YPYAhDbbBEW5SdKXfzjgpjLBLLIe,Stuart,FL,auto_shop,,owner_name,,
Honda Dealership Stuart FL,events@hohmartin.org,(772) 286-4673,https://www.johnsonhondaofstuart.com/,Stuart,FL,auto_shop,,owner_name,,
"Wallace Chrysler, Jeep, Dodge, Ram & Wagoneer Dealership In ...",users@wallaceautogroup.net,772-291-5172,https://www.wallacecjd.com/?srsltid=AfmBOorlSn6JaJN7zDU4gP6dI2IL6n2skx1ksjZz0VgzKlEPoooQxAhB,Stuart,FL,auto_shop,,owner_name,,
Garage Floor Coating: Professional Epoxy Flooring,Floorcoatingpro@gmail.com,(772) 205-4627,https://indianriverconcretecoatings.com/,Vero Beach,FL,auto_shop,,owner_name,,
Palm City Handyman Service,tchomecarerepair@gmail.com,3459463101,https://therepairguyservices.com/handyman-services/,Palm City,FL,property_manager,,owner_name,,
"Handyman & Home Repair Services in Palm City, FL",tchomecarerepair@gmail.com,(772) 882-5798,https://www.acehandymanservices.com/offices/port-st-lucie/city/palm_city_services,Palm City,FL,property_manager,,owner_name,,
Martin County,eciampi@martin.fl.us,(772) 403-1064,https://scpmllc.com/service-areas/martin-county/,Palm City,FL,property_manager,,owner_name,,
Lawn Care and Lawn Maintenance,Contractors@BelmontProviderNetwork.com,(772) 263-1656,https://alphazetaent.com/lawn-care-and-lawn-maintenance-palm-city-fl/,Palm City,FL,property_manager,,owner_name,,
Beau Rivage Estates HOA,fenglund@bellsouth.net,1313679510,https://beaurivageestateshoa.org/,Stuart,FL,apartment_complex,,owner_name,,
"The Landings of Martin County | HOA in Stuart, FL",tkryzda@martin.fl.us,(772) 288-5939,https://tlomc.communitysite.com/,Stuart,FL,apartment_complex,,owner_name,,
Master Association - Welcome to Hammock Creek,Master.HammockCreek@gmail.com,772-334-8900,https://www.hammockcreekhoa.com/master-association.html,Stuart,FL,apartment_complex,,owner_name,,
Community Association - Reblawpa,sap@reblawpa.com,(772) 287-8045,https://reblawpa.com/areas-of-practice/community-association/,Stuart,FL,apartment_complex,,owner_name,,
JD Treasure Coast ALF in Florida - Oasis Senior Advisors,jlibratore@youroasisadvisor.com,(772) 214-0806,https://www.oasissenioradvisors.com/community-guide/florida/port-saint-lucie/jd-treasure-coast-alf/,Stuart,FL,healthcare,,owner_name,,
Castlewood Assisted Living Residence,brittanyf.cal@outlook.com,(605) 793-2234,https://www.castlewoodresidence.com/,Stuart,FL,healthcare,,owner_name,,
Independent Living - CarePatrol of The Treasure Coast,lvelez@carepatrol.com,(321) 273-2424,https://carepatrol.com/the-treasure-coast/services/independent-living/,Stuart,FL,healthcare,,owner_name,,
"Garage Floor Installations in Stuart, FL – 10X Better",tlosee@certapro.com,844-844-4164,https://www.floortekcoatings.com/posts/garage-floor-installations-stuart-fl,Stuart,FL,epoxy,,owner_name,,
"Professional Garage Floors in Palm City, FL - Floortek Coatings",customsurfacesolutionsllc@gmail.com,772-448-1968,https://www.floortekcoatings.com/garage-floor-palm-city,Palm City,FL,epoxy,,owner_name,,
Professional Concrete Floor Coatings Palm City FL | Call Us!,customsurfacesolutionsllc@gmail.com,561-905-0148,https://customsurfacellc.com/service-areas/florida/martin-county/palm-city/,Palm City,FL,epoxy,,owner_name,,
"Gutter Installation in Jensen Beach, FL, 34957 - Lowe's",DLBlanton@bellsouth.net,(772) 692-7745,https://www.lowes.com/store/0703-jensen-beach-fl/gutter-installation,Jensen Beach,FL,gutter,,owner_name,,
Jensen Seamless Gutters,gutterguy@gutterguyfl.com,772-334-3139,https://unitedseamlessgutters.com/jensen-seamless-gutters,Jensen Beach,FL,gutter,,owner_name,,
"Seamless Gutters | Jensen Beach, FL",gutterguy@gutterguyfl.com,772-334-3139,https://budgetgutters.com/contact-us/martin-county-gutters/jensen-beach-gutters/,Jensen Beach,FL,gutter,,owner_name,,
Jensen Beach Seamless Gutters,gutterguy@gutterguyfl.com,772-334-3139,https://raincontrolseamlessgutters.com/jensen-beach-gutters/,Jensen Beach,FL,gutter,,owner_name,,
Martin North Hospital | Cleveland Clinic,roiwestonfl@ccf.org,(772) 287-5200,https://my.clevelandclinic.org/locations/directions/546-martin-north-hospital,Stuart,FL,healthcare,,owner_name,,
Martin North Hospital | Cleveland Clinic Florida,PHPPRcontactus@providence.org,(772) 287-5200,https://my.clevelandclinic.org/florida/locations/martin-north-hospital,Stuart,FL,healthcare,,owner_name,,
"Cleveland Clinic Martin Health-Stuart in Stuart, FL - Health US News",singhr@ccf.org,(772) 223-2300,https://health.usnews.com/best-hospitals/area/fl/martin-medical-center-6391000,Stuart,FL,healthcare,,owner_name,,
Cleveland Clinic Martin North Hospital - Medicare,PHPPRcontactus@providence.org,772.287.5200,https://www.medicare.gov/care-compare/details/hospital/100044/view-all?city=Port%2520St.%2520Lucie&state=FL&zipcode=34987,Stuart,FL,healthcare,,owner_name,,
Treasure Coast Auto Spa: Treasure Coast Auto Detailing,ceramicprotcas@treasurecoastautospa.com,(772) 204-1286,https://tcautodetail.com/,Stuart,FL,detailing,,owner_name,,
Lio's Quality detailing,liosqdllc@gmail.com,(772) 348-9559,https://www.liosqualitydetailing.com/,Stuart,FL,detailing,,owner_name,,
Florida Finest Detailing: Home,ffdetailing77@gmail.com,772-377-0077,https://www.floridasfinestdetailing.com/,Stuart,FL,detailing,,owner_name,,
"Ceramic Coating Experts | Best Auto Detailing in Port St Lucie, Fort ...",showtimedetailing28@gmail.com,2006217259,https://www.redlinepremiumdetailing.com/,Stuart,FL,detailing,,owner_name,,
"Caterer Service in Treasure Coast, FL | Corporate Caterers - Menu",joe.stellato@gmail.com,772 286-0877,https://chicago.corpcaterers.com/location/corporate-caterers-treasure-coast-fl/full-menu/,Stuart,FL,restaurant,,owner_name,,
"Purple Olive: Catering Service | Saint Augustine, FL",purpleolive2004@gmail.com,(904) 461-1250,https://www.purple-olive.com/,Stuart,FL,restaurant,,owner_name,,
