ID,Company,Name,Email,Phone,City,State,Has Email?,Has Name?,Has Position?,Has Contact?,Status
10001,Melbourne Professional Firefighters Local-1951,,,,Melbourne,FL,NO,NO,YES,YES,NO EMAIL
10002,Fire Station Facilities,,,,Melbourne,FL,NO,NO,YES,YES,NO EMAIL
10003,City of Melbourne,,,,Melbourne,FL,NO,NO,YES,YES,NO EMAIL
10005,Melbourne Fire Department (Florida),,,,Melbourne,FL,NO,NO,YES,YES,NO EMAIL
10006,Brevard County Florida Fire Rescue Stations,,,,Melbourne,FL,NO,NO,YES,YES,NO EMAIL
10007,Contact,,seashellsuites@gmail.com,321.409.0500,Melbourne,FL,YES,NO,NO,YES,NO NAME
10008,Tuckaway Shores,,,,Melbourne,FL,NO,NO,YES,YES,NO EMAIL
10010,THE BEST Melbourne Beach Resorts 2026 (from $240),,,,Melbourne,FL,NO,NO,YES,YES,NO EMAIL
10011,THE BEST Melbourne Beach Resorts 2025 (with Prices),,,,Melbourne,FL,NO,NO,YES,YES,NO EMAIL
10012,"Contact Arnab Kumar, Email: ****@rsrt.jp & Phone Number",,,,Melbourne,FL,NO,NO,YES,YES,NO EMAIL
10014,"Contact Darren Barnes, Email: ****@thehotelgroup.com & Phone Number",,,,Melbourne,FL,NO,NO,YES,YES,NO EMAIL
10015,David Hanus Email & Phone Number,,,,Melbourne,FL,NO,NO,YES,YES,NO EMAIL
10016,"Contact Novella Pinney, Email: ****@caneelbay.com & Phone Number",,,,Melbourne,FL,NO,NO,YES,YES,NO EMAIL
10017,Fire Rescue & Beach Safety,,,954.967.4248,Hollywood,FL,NO,NO,YES,YES,NO EMAIL
10018,Locations – Fire Chiefs Association of Broward County,,,954-967-4248,Hollywood,FL,NO,NO,YES,YES,NO EMAIL
10019,Staff Directory • Fire Rescue and Beach Safety,,,954.967.4248,Hollywood,FL,NO,NO,YES,YES,NO EMAIL
10021,Fire and EMS station information for City of Hollywood Florida,,,,Hollywood,FL,NO,NO,YES,YES,NO EMAIL
10022,"Staff Directory • Hollywood, FL • CivicEngage",,,954.967.4357,Hollywood,FL,NO,NO,YES,YES,NO EMAIL
10023,City of Hollywood Fire Rescue & Beach Safety,,,(954) 967-4248,Hollywood,FL,NO,NO,YES,YES,NO EMAIL
10024,Fire Stations,,,954.967.4357,Hollywood,FL,NO,NO,YES,YES,NO EMAIL
10025,FAQs • Fire Rescue,,,954.921.3046,Hollywood,FL,NO,NO,YES,YES,NO EMAIL
10026,Hollywood Fire Rescue & Beach Safety Department,,,,Hollywood,FL,NO,NO,YES,YES,NO EMAIL
10027,"Honda Fort Pierce, FL",,,772-577-2585,Fort Pierce,FL,NO,NO,YES,YES,NO EMAIL
10028,Toyota Dealership in Fort Pierce FL,,,866-886-3741,Fort Pierce,FL,NO,NO,YES,YES,NO EMAIL
10029,Celebrity Auto Sales,,,(772) 677-9211,Fort Pierce,FL,NO,NO,YES,YES,NO EMAIL
10030,Hyundai Dealership in Fort Pierce FL,,,772-468-6000,Fort Pierce,FL,NO,NO,YES,YES,NO EMAIL
10031,Toyota New Vehicle Inventory Search in Fort Pierce,,,866-886-3741,Fort Pierce,FL,NO,NO,YES,YES,NO EMAIL
10032,Nissan of Fort Pierce,,,(772) 618-2715,Fort Pierce,FL,NO,NO,YES,YES,NO EMAIL
10033,St Marc Auto Sales,,,(772) 758-1008,Fort Pierce,FL,NO,NO,NO,YES,NO EMAIL
10034,Sunrise Ford,,,,Fort Pierce,FL,NO,NO,YES,YES,NO EMAIL
10035,"New & Used Cars, Trucks, SUVs",,,,Fort Pierce,FL,NO,NO,YES,YES,NO EMAIL
10036,Wallace Lincoln,,,,Fort Pierce,FL,NO,NO,YES,YES,NO EMAIL
10037,Clearwater Medical Facilities,,,,Clearwater,FL,NO,NO,YES,YES,NO EMAIL
10038,Patient and Visitor Information,,,(727) 461-8014,Clearwater,FL,NO,NO,YES,YES,NO EMAIL
10039,Clearwater Hospitals,,jeni@amplifyclearwater.com,,Clearwater,FL,YES,NO,YES,YES,NO NAME
10040,"Hospitals near Clearwater, FL",,,,Clearwater,FL,NO,NO,YES,YES,NO EMAIL
10041,List of Best hospitals in Clearwater FL,,,,Clearwater,FL,NO,NO,YES,YES,NO EMAIL
10042,Hospitals Gulf View Inn Clearwater Florida FL Hotels Motels Accommodations,,,(727) 462-7000,Clearwater,FL,NO,NO,YES,YES,NO EMAIL
10043,BayCare Health System,,,(727) 820-8200,Clearwater,FL,NO,NO,YES,YES,NO EMAIL
10044,Clearwater Hospitals,,,,Clearwater,FL,NO,NO,YES,YES,NO EMAIL
10045,"Windmoor Healthcare of Clearwater, FL",,,,Clearwater,FL,NO,NO,YES,YES,NO EMAIL
10047,CED Hollywood,,,(954) 921-5211,Hollywood,FL,NO,NO,YES,YES,NO EMAIL
10048,"Local Electricians & Electrical Services in Hollywood, FL",,,(561) 408-5147,Hollywood,FL,NO,NO,YES,YES,NO EMAIL
10050,Ivolt,,,,Hollywood,FL,NO,NO,NO,YES,NO EMAIL
10051,Electrical Contractor Services,,,(305) 647-7814,Hollywood,FL,NO,NO,YES,YES,NO EMAIL
10052,"Reliable Electrician in Hollywood, FL, With Over 500 5-Star Reviews",,,954-466-1716,Hollywood,FL,NO,NO,YES,YES,NO EMAIL
10053,Hollywood FL Electrician,,,(786) 833-9211,Hollywood,FL,NO,NO,YES,YES,NO EMAIL
10054,"Electrical Services Hollywood, FL",,,(786) 365-6036,Hollywood,FL,NO,NO,YES,YES,NO EMAIL
10055,Hollywood Electrician,,,,Hollywood,FL,NO,NO,YES,YES,NO EMAIL
10056,"Order from The Fresh Market at The Fresh Market, Boca Raton, Florida",,,561-994-2221,Boca Raton,FL,NO,NO,YES,YES,NO EMAIL
10057,"Trader Joe's Locations in Boca Raton, Florida",,,561-338-5031,Boca Raton,FL,NO,NO,YES,YES,NO EMAIL
10058,West Boca Raton Store,,,,Boca Raton,FL,NO,NO,YES,YES,NO EMAIL
10059,Boca Raton (773),,,,Boca Raton,FL,NO,NO,YES,YES,NO EMAIL
10060,Boca Raton Store,,,,Boca Raton,FL,NO,NO,YES,YES,NO EMAIL
10061,"Contact Nancy Stein, Email: ****@broslc.com & Phone Number",,,,Boca Raton,FL,NO,NO,YES,YES,NO EMAIL
10062,Grocery store/supermarket that delivers in Boca?,,,561-477-7199,Boca Raton,FL,NO,NO,YES,YES,NO EMAIL
10063,"Kitchen Remodel Services St. Petersburg, FL",,,(727) 202-4891,St. Petersburg,FL,NO,NO,YES,YES,NO EMAIL
10064,"Kitchen Remodeling in St. Petersburg, FL",,,727-644-3784,St. Petersburg,FL,NO,NO,YES,YES,NO EMAIL
10065,St Petersburg Kitchen Remodeling,NEEDS_ENRICHMENT,INFO@REVOLUTIONFL.COM,(727) 888-6161,St. Petersburg,FL,NO,YES,NO,YES,NO EMAIL
10066,"Kitchen Remodeling, Cabinets, Granite Countertops, St Petersburg Tampa",,,,St. Petersburg,FL,NO,NO,YES,YES,NO EMAIL
10067,Kitchens Today,,,,St. Petersburg,FL,NO,NO,YES,YES,NO EMAIL
10068,Quality Home Renovators,,,,St. Petersburg,FL,NO,NO,YES,YES,NO EMAIL
10070,"Home Remodeling General Contractors Clearwater, St Petersburg Fl.",,,727-596-9006,St. Petersburg,FL,NO,NO,YES,YES,NO EMAIL
10071,Kitchen Remodeling St. Petersburg,,,,St. Petersburg,FL,NO,NO,YES,YES,NO EMAIL
10072,Miami Kitchen & Bath Remodeling,,,(305) 423-8277,Miami,FL,NO,NO,YES,YES,NO EMAIL
10073,Kitchen Bathroom Remodeling,,,786-864-8555,Miami,FL,NO,NO,YES,YES,NO EMAIL
10074,"Best Bathroom Remodel Miami, FL · #1 Rated Contractor · FAST Quote",,,,Miami,FL,NO,NO,YES,YES,NO EMAIL
10075,Miami Bathroom Remodel,,,,Miami,FL,NO,NO,YES,YES,NO EMAIL
10076,Construction In Miami FL,,,,Miami,FL,NO,NO,YES,YES,NO EMAIL
10077,"Bathroom Remodel Palmetto Bay, FL",,,(305) 254-3434,Miami,FL,NO,NO,YES,YES,NO EMAIL
10078,"Bathroom Remodeling in Miami, FL",,,,Miami,FL,NO,NO,YES,YES,NO EMAIL
10079,Bath Remodel,,,(786)709-8759,Miami,FL,NO,NO,YES,YES,NO EMAIL
10080,bathroom renovation miami fl,,,,Miami,FL,NO,NO,YES,YES,NO EMAIL
10081,"Bathroom Remodeling in Miami Beach, FL",,,305-833-6336,Miami,FL,NO,NO,YES,YES,NO EMAIL
10082,Kitchen Cabinets Port St. Lucie FL,,,(818) 835-5888,Port St. Lucie,FL,NO,NO,YES,YES,NO EMAIL
10083,"Custom Cabinetry Port Saint Lucie, FL",,,(772) 812-1126,Port St. Lucie,FL,NO,NO,YES,YES,NO EMAIL
10084,Port St Lucie FL Custom Built Kitchen & Bathroom Cabinets,,,,Port St. Lucie,FL,NO,NO,YES,YES,NO EMAIL
10085,"Front Street Cabinets is a Cabinet Maker in Port Saint Lucie, FL 34986",,,,Port St. Lucie,FL,NO,NO,YES,YES,NO EMAIL
10087,Cabinet Installation Port Saint Lucie Fl,,allstarcarpetandtiles1@yahoo.com,,Port St. Lucie,FL,YES,NO,YES,YES,NO NAME
10089,Cabinet Store in Port st Lucie: ALL KITCHEN & CABINETS,,,,Port St. Lucie,FL,NO,NO,YES,YES,NO EMAIL
10090,St Elizabeth Ann Seton Catholic Church,,,386-445-2246,Palm Coast,FL,NO,NO,NO,YES,NO EMAIL
10091,"Shepherd of the Coast Lutheran Church Palm Coast, FL – Connecting People to God's Grace",,sotcms@gmail.com,(386) 446-2481,Palm Coast,FL,YES,NO,YES,YES,NO NAME
10092,Church of Christ of Flagler County Palm Coast,,,(386)437-1941,Palm Coast,FL,NO,NO,YES,YES,NO EMAIL
10093,Epic Church Palm Coast FL,,,,Palm Coast,FL,NO,NO,YES,YES,NO EMAIL
10094,New Home Page,NEEDS_ENRICHMENT,info@newbeginningbaptist.church,(386) 972-4118,Palm Coast,FL,NO,YES,YES,YES,NO EMAIL
10095,St. Elizabeth Ann Seton Catholic Church,,,(386) 445-2246,Palm Coast,FL,NO,NO,YES,YES,NO EMAIL
10096,"St. Thomas Episcopal Church, Palm Coast, Florida – Palm Coast, FL",,,,Palm Coast,FL,NO,NO,YES,YES,NO EMAIL
10097,Parkview Church,,,,Palm Coast,FL,NO,NO,YES,YES,NO EMAIL
10098,Christian Life Center,,,,Palm Coast,FL,NO,NO,YES,YES,NO EMAIL
10100,"Bathroom & Kitchen Remodeling Fort Myers, FL",,,239-265-1872,Fort Myers,FL,NO,NO,YES,YES,NO EMAIL
10102,Fort Myers Bathroom Remodeling Contractor,,,,Fort Myers,FL,NO,NO,YES,YES,NO EMAIL
10105,Bathroom Remodel Fort Myers Forsyth Construction,,forsythbuildsfl@gmail.com,239-464-5565,Fort Myers,FL,YES,NO,YES,YES,NO NAME
10106,Bathroom Remodeling,,,,Fort Myers,FL,NO,NO,YES,YES,NO EMAIL
10107,"Bathroom Remodeling & Bath Remodels Fort Myers, FL",,,,Fort Myers,FL,NO,NO,YES,YES,NO EMAIL
10108,Plumber Fort Lauderdale,,,954-874-5152,Fort Lauderdale,FL,NO,NO,YES,YES,NO EMAIL
10109,4 Star Plumbing Services,,,(954) 776-9888,Fort Lauderdale,FL,NO,NO,NO,YES,NO EMAIL
10110,"Fort Lauderdale, FL Plumber",,,954-781-4823,Fort Lauderdale,FL,NO,NO,YES,YES,NO EMAIL
10111,Professional Plumbing Services in Coral Springs,,,954-507-8383,Fort Lauderdale,FL,NO,NO,YES,YES,NO EMAIL
10112,Plumber Fort Lauderdale FL,,,954-735-3879,Fort Lauderdale,FL,NO,NO,YES,YES,NO EMAIL
10113,"Plumbing Repair & Installation In Fort Lauderdale, FL",,,954.781.4823,Fort Lauderdale,FL,NO,NO,YES,YES,NO EMAIL
10114,Expert Plumbers in Fort Lauderdale,,,754-244-3247,Fort Lauderdale,FL,NO,NO,YES,YES,NO EMAIL
10115,Plumbers Fort Lauderdale,,,(954) 804-2501,Fort Lauderdale,FL,NO,NO,YES,YES,NO EMAIL
10116,Plumbers in Fort Lauderdale,,,954-280-8461,Fort Lauderdale,FL,NO,NO,YES,YES,NO EMAIL
10117,"Plumber in Fort Lauderdale, FL",,,,Fort Lauderdale,FL,NO,NO,YES,YES,NO EMAIL
10119,"Retail Sales PRO of Sarasota, Florida",,,,Sarasota,FL,NO,NO,YES,YES,NO EMAIL
10121,Business Relations,,,,Sarasota,FL,NO,NO,YES,YES,NO EMAIL
10122,Downtown Sarasota Shopping Guide and Directory,,,,Sarasota,FL,NO,NO,YES,YES,NO EMAIL
10123,Sarasota Local,,,,Sarasota,FL,NO,NO,YES,YES,NO EMAIL
10124,Business Community,,,,Sarasota,FL,NO,NO,YES,YES,NO EMAIL
10125,Retail Space for Lease at Sarasota Village,,,,Sarasota,FL,NO,NO,YES,YES,NO EMAIL
10127,All County Polk,,,863-510-5965,Lakeland,FL,NO,NO,YES,YES,NO EMAIL
10128,Contact Us,NEEDS_ENRICHMENT,info@rentwithberkshire.com,863.940.9789,Lakeland,FL,NO,YES,YES,YES,NO EMAIL
10129,Contact Us – AIA Property Management,,james@aiapropertymanagement.com,,Lakeland,FL,YES,NO,YES,YES,NO NAME
10131,Property Management in Lakeland: Expertise You Can Trust,,hendrickjennifer550@gmail.com,1352340296,Lakeland,FL,YES,NO,YES,YES,NO NAME
10132,Contact Us,,StraightUpRealtyandPM@gmail.com,863.698.7547,Lakeland,FL,YES,NO,YES,YES,NO NAME
10133,"Lakeland Property Management, Lakeland Property Managers, Lakeland Property Management Companies. St",,,,Lakeland,FL,NO,NO,YES,YES,NO EMAIL
10134,Residents Portal – Lakeland FL Property Management,,EricaSUPM@gmail.com,863.698.7547,Lakeland,FL,YES,NO,YES,YES,NO NAME
10135,"Property Management Polk County, FL",,,,Lakeland,FL,NO,NO,YES,YES,NO EMAIL
10136,Full Service Property Management For The Lakeland Area,,,,Lakeland,FL,NO,NO,YES,YES,NO EMAIL
10137,Tile Contractor of Fort Myers,,,(239) 440-0644,Cape Coral,FL,NO,NO,YES,YES,NO EMAIL
10138,Cape Coral Tile and Stone Consultants,,,800-689-6031,Cape Coral,FL,NO,NO,YES,YES,NO EMAIL
10139,"Mikes Ceramic Tile, Installs Ceramic Tiles in Cape Coral, FL 33904",,,,Cape Coral,FL,NO,NO,YES,YES,NO EMAIL
10140,Floor Tiles Online,,,,Cape Coral,FL,NO,NO,YES,YES,NO EMAIL
10141,Tile Flooring,,,239-458-9773,Cape Coral,FL,NO,NO,YES,YES,NO EMAIL
10142,Tile Flooring Solutions,,,(239) 574-5099,Cape Coral,FL,NO,NO,YES,YES,NO EMAIL
10143,"Tile Installation in Cape Coral, FL",,,,Cape Coral,FL,NO,NO,YES,YES,NO EMAIL
10144,Fast Food in Melbourne,,,(321) 768-1776,Melbourne,FL,NO,NO,YES,YES,NO EMAIL
10145,Fast Food Franchise Mailing Lists,,,,Melbourne,FL,NO,NO,YES,YES,NO EMAIL
10147,Franchisee List,,,,Melbourne,FL,NO,NO,YES,YES,NO EMAIL
10148,Fast Food Chain Owners Mailing List,,,(877) 676-0254,Melbourne,FL,NO,NO,YES,YES,NO EMAIL
10149,Fast Food Restaurant Contact List,,,,Melbourne,FL,NO,NO,YES,YES,NO EMAIL
10150,"Best Dave's Hot Chicken in Melbourne, FL",,,,Melbourne,FL,NO,NO,YES,YES,NO EMAIL
10151,East Coast Soffit & Gutters,,,,Melbourne,FL,NO,NO,YES,YES,NO EMAIL
10152,"Rain Gutter Installation & Cleaning In West Melbourne, FL",,,(321) 768-6575,Melbourne,FL,NO,NO,YES,YES,NO EMAIL
10153,"Gutters Unlimited: Seamless Gutters Melbourne, FL",,,,Melbourne,FL,NO,NO,YES,YES,NO EMAIL
10154,"Seamless gutter installation Brevard County, Gutter repair Brevard County, Gutter cleaning services ",,,,Melbourne,FL,NO,NO,YES,YES,NO EMAIL
10155,"Seamless Rain Gutter Services in Melbourne, FL",,,(321) 768-6575,Melbourne,FL,NO,NO,YES,YES,NO EMAIL
10156,"Seamless Gutters Melbourne FL, Gutter Services, Install, Clean & Repair",,,,Melbourne,FL,NO,NO,YES,YES,NO EMAIL
10157,Seamless Gutter Services Melbourne FL,,,(321) 652-1078,Melbourne,FL,NO,NO,YES,YES,NO EMAIL
10158,"Plumbing Services Ocala, FL",,,(352) 299-7070,Ocala,FL,NO,NO,YES,YES,NO EMAIL
10159,"Best Plumber in Ocala, FL",,,(352) 426-5183,Ocala,FL,NO,NO,YES,YES,NO EMAIL
10160,"AC, Plumbing, & Electrical",,,,Ocala,FL,NO,NO,YES,YES,NO EMAIL
10161,Plumber Ocala FL,,,(352) 629-7886,Ocala,FL,NO,NO,YES,YES,NO EMAIL
10162,"Ocala, FL Plumbing Services",,,(352) 329-3740,Ocala,FL,NO,NO,YES,YES,NO EMAIL
10163,Trusted Plumbers in Ocala FL,,,,Ocala,FL,NO,NO,YES,YES,NO EMAIL
10164,Ocala Plumber,,,,Ocala,FL,NO,NO,YES,YES,NO EMAIL
10165,Contact Service Plumbing in Ocala FL,NEEDS_ENRICHMENT,info@service-plumbing.com,(352) 633-4967,Ocala,FL,NO,YES,YES,YES,NO EMAIL
10166,Miller & Sons Plumbing,,,,Ocala,FL,NO,NO,YES,YES,NO EMAIL
10167,Painting Service,,,727-512-7333,Clearwater,FL,NO,NO,YES,YES,NO EMAIL
10168,Best Painting Contractor Clearwater FL,,,(727) 667-4258,Clearwater,FL,NO,NO,YES,YES,NO EMAIL
10169,Exterior & Interior Painting,,bairdqualitypainting@gmail.com,727-512-7333,Clearwater,FL,YES,NO,YES,YES,NO NAME
10170,Clearwater Painting Contractor,,,727-542-2946,Clearwater,FL,NO,NO,YES,YES,NO EMAIL
10171,Painting,,apexpainting.chris@yahoo.com,(727) 944-2323,Clearwater,FL,YES,NO,NO,YES,NO NAME
10172,House Painter in Clearwater Florida,,,,Clearwater,FL,NO,NO,YES,YES,NO EMAIL
10173,Affordable House Painter Quotes Clearwater FL,,,(727) 667-4258,Clearwater,FL,NO,NO,YES,YES,NO EMAIL
10174,"Interior & Exterior Painting in Clearwater, FL",,,(727) 308-5229,Clearwater,FL,NO,NO,YES,YES,NO EMAIL
10175,Clearwater Painters,,,,Clearwater,FL,NO,NO,YES,YES,NO EMAIL
10177,Retail,NEEDS_ENRICHMENT,info@lakelandchamber.com,,Lakeland,FL,NO,YES,NO,YES,NO EMAIL
10178,"Businesses For Sale in Polk County, FL",,,,Lakeland,FL,NO,NO,YES,YES,NO EMAIL
10180,Business Resource Office,,,,Lakeland,FL,NO,NO,YES,YES,NO EMAIL
