id,priority,business_name,contact_name,email,phone,city,state,website,category,source,created_at,notes
30341,Medium,Port St Lucie Epoxy Pros,,info@theepoxypros.com,772-918-9687,Port St. Lucie,FL,https://www.epoxyportstlucie.com/,Epoxy Flooring,websearch,2026-02-16 04:19:53,Decades of experience in concrete and epoxy flooring | Alt emails: admin@wfcoatings.ca
18170,Low,Chattanooga Daycare,NEEDS_ENRICHMENT,Info@myhcacademy.org,(423) 742-6951,Chattanooga,TN,https://myhcacademy.org/,daycare center,brave_national,2026-02-13 08:39:39,"Snippet: 7 N. Tuxedo Ave, Chattanooga, TN 37411 · Email: <strong>Info@myhcacademy.org</strong> · Call: (423) 742-6951 · We provide your child with an atmospher"
18152,Low,Bathroom Remodels,NEEDS_ENRICHMENT,office@builderpro.contractors,(910) 889-3867,Wilmington,NC,https://www.buildersprocontractors.com/bathroom-remodels,bathroom renovation contractor,brave_national,2026-02-13 08:39:34,Snippet: “Best contractors for walk-in ... BuilderPro LLC is here to create the perfect space for you. Contact us today at (910) 889-3867 or email <strong>offi
18139,Low,"Jackson, MS HOA Management Services",NEEDS_ENRICHMENT,sales@csmhoa.com,865.315.7505,Jackson,MS,https://clarksimsonmiller.com/jackson-ms-hoa-management/,HOA property management,brave_national,2026-02-13 08:39:30,"Snippet: With us by your side, you’ll have more time to plan for your HOA’s future and pay attention to homeowner satisfaction. Contact us today by calling 865"
18088,Low,Kentucky Branded Louisville,NEEDS_ENRICHMENT,support@kentuckybranded.com,502-398-5119,Louisville,KY,https://kentuckybranded.com/pages/kentucky-branded-louisville,retail store owner,brave_national,2026-02-13 08:39:16,"Snippet: Our newest retail store in Louisville has opened, offering a wide range of merchandise for Cardinal fans and Kentucky lovers alike. 4600 Shelbyville R"
17989,Low,"Heritage Flooring. Serving New Orleans, Northshore, Baton Rouge and surrounding areas",NEEDS_ENRICHMENT,INFO@HFILA.COM,985.276.3793,New Orleans,LA,https://hfila.com/,hardwood flooring installer,brave_national,2026-02-13 08:38:51,"Snippet: Commercial &amp; Hospitality Specialists 63124 Highway 434 Lacombe, LA 70445 Phone: 985.276.3793 FAX: 985.882.2688 Email: <strong>INFO@HFILA.COM</stro"
17974,Low,HOA Resources,NEEDS_ENRICHMENT,office@chattanoogapm.com,423.208.9444,Chattanooga,TN,https://www.chattanoogapm.com/hoa-resources,HOA property management,brave_national,2026-02-13 08:38:48,Snippet: Contact Us · Request Maintenance · Employment With Us · Twitter · Facebook · Bidding Questionnaire HOA Violation · Request for HOA Fees · 423.208.9444
17927,Low,Roofing and Gutters,NEEDS_ENRICHMENT,sales@hsroofing.com,704-334-9934,Charlotte,NC,https://hsroofing.com/,roofing contractor,brave_national,2026-02-13 08:36:34,"Snippet: If you would like to know more about H&amp;S Roofing &amp; Gutter Company or request a quote, feel free to call us at 704-334-9934 or email us at <str"
17928,Low,#1 Charlotte Commercial Roofing,NEEDS_ENRICHMENT,info@davcoroofing.com,704-817-9788,Charlotte,NC,https://davcoroofing.com/,roofing contractor,brave_national,2026-02-13 08:36:34,"Snippet: Existing customers, please leave a review of our services ... MAIN OFFICE 4408 Northpointe Industrial Blvd. Charlotte, NC 28216 EMAIL: <strong>info@da"
17918,Low,Louisville Executive Aviation,NEEDS_ENRICHMENT,info@louisvilleexecutive.com,(502) 292-4800,Louisville,KY,https://www.louisvilleexecutive.com/,aircraft hangar,brave_national,2026-02-13 08:36:32,Snippet: CONTACT · 2805 Taylorsville Rd · Louisville KY 40205 · <strong>info@louisvilleexecutive.com</strong> · Tel: (502) 292-4800 · ​ · Hours: 7am - 9pm · Ca
17870,Low,Property Management,NEEDS_ENRICHMENT,info@sr-cre.com,225.766.0000,Baton Rouge,LA,https://sauragerotenberg.com/our-company/property-managers/,commercial property manager,brave_national,2026-02-13 08:36:21,"Snippet: 5135 Bluebonnet Blvd. Baton Rouge, LA 70809 225.766.0000 info@sr-cre.com · H.N. “Hank” Saurage IV, CCIM / Saurage Rotenberg Commercial Real Estate, LL"
17871,Low,Over 25 Years of Property Management and Leasing Experience in Baton Rouge,NEEDS_ENRICHMENT,info@keyfindersbr.com,(225) 293-3000,Baton Rouge,LA,https://www.keyfindersbr.com/about-us,commercial property manager,brave_national,2026-02-13 08:36:21,"Snippet: Keyfinders Realty, Inc. 4626 Sherwood Common Blvd Ste 304 Baton Rouge, LA 70816 · Office:(225) 293-3000 Fax:(225) 293-3007 Email: <strong>info@keyfind"
17869,Low,Baudiers Flooring,NEEDS_ENRICHMENT,info@BaudiersFlooring.com,228.863.7155,Gulfport,MS,https://www.baudiersflooring.com/contact-flooring-quote-gulfport,hardwood flooring installer,brave_national,2026-02-13 08:36:19,"Snippet: 2701 25th Ave, Gulfport, MS 39501 · 2701 25th Avenue (Hwy 49) Gulfport Mississippi 39501 · Office: 228.863.7155 Fax: 228.314.7156 · info@BaudiersFloor"
